Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,164988,Boston University,1,Boston University Charles River Campus,27756,0,0,1,,,0,,,7,14,0,0,0
2002,164988,Boston University,1,Boston University Charles River Campus,28982,0,0,1,,,0,,,4,2,0,0,0
2003,164988,Boston University,1,Boston University Charles River Campus,29049,0,0,4,,,0,,,2,2,1,1,1
2004,164988,Boston University,1,Boston University Charles River Campus,29596,0,0,2,,,0,,,1,2,2,0,1
2005,164988,Boston University,1,Boston University Charles River Campus,30957,0,0,1,,,0,,,0,5,1,1,0
2006,164988,Boston University,1,Boston University Charles River Campus,31574,0,0,0,,,0,,,4,9,0,0,0
2007,164988,Boston University,1,Boston University Charles River Campus,32053,0,0,2,,,0,,,4,3,0,1,0
2008,164988,Boston University,1,Boston University Charles River Campus,31766,0,0,2,,,0,,,5,1,0,2,0
2009,164988,Boston University,1,Boston University Charles River Campus,31960,0,0,0,,,0,,,4,2,0,0,0
2010,164988,Boston University,1,Boston University Charles River Campus,32727,0,0,0,,,0,,,7,3,0,1,0
2011,164988,Boston University,1,Boston University Charles River Campus,32439,0,0,3,,,0,,,11,2,0,1,0
2012,164988,Boston University,1,Boston University Charles River Campus,32603,0,0,1,,,0,,,2,6,0,2,0
2013,164988,Boston University,1,Boston University Charles River Campus,32411,0,0,1,,,0,,,8,5,0,5,0
2014,164988,Boston University,1,Boston University Charles River Campus,32112,0,0,,0,0,,0,0,6,6,0,5,0
2015,164988,Boston University,1,Boston University Charles River Campus,32158,0,0,,0,4,,0,0,6,10,0,4,0
2016,164988,Boston University,1,Boston University Charles River Campus,32695,0,0,,0,1,,0,0,9,3,0,8,0
