Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,211431,Carlow University,1,Main Campus,1898,0,0,0,,,0,,,0,0,4,0,0
2002,211431,Carlow University,1,Main Campus,2070,0,0,0,,,0,,,0,0,0,0,0
2003,211431,Carlow University,1,Main Campus,2137,0,0,0,,,0,,,0,0,0,0,0
2004,211431,Carlow University,1,Main Campus,2086,0,0,0,,,0,,,0,0,0,0,0
2005,211431,Carlow University,1,Main Campus,2123,0,0,0,,,0,,,0,0,0,0,0
2006,211431,Carlow University,1,Main Campus,2154,0,0,0,,,0,,,0,0,0,0,0
2007,211431,Carlow University,1,Main Campus,2178,0,0,0,,,0,,,0,0,0,0,0
2008,211431,Carlow University,1,Main Campus,2128,0,0,0,,,0,,,0,0,0,0,0
2009,211431,Carlow University,1,Main Campus,2533,0,0,0,,,0,,,0,0,0,0,0
2010,211431,Carlow University,1,Main Campus,2768,0,0,0,,,0,,,0,0,0,0,0
2011,211431,Carlow University,1,Main Campus,2866,0,0,0,,,0,,,0,0,0,0,0
2012,211431,Carlow University,1,Main Campus,2922,0,0,1,,,0,,,0,0,0,0,0
2013,211431,Carlow University,1,Main Campus,3012,0,0,0,,,0,,,0,0,0,0,0
2014,211431,Carlow University,1,Main Campus,2201,0,0,,1,0,,0,0,0,0,0,0,0
2015,211431,Carlow University,1,Main Campus,2272,0,0,,0,0,,0,0,0,0,1,0,0
2016,211431,Carlow University,1,Main Campus,2255,0,0,,1,0,,0,0,0,0,0,0,0
