Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,211556,Chatham University,1,Main Campus,1065,0,0,0,,,0,,,0,0,4,1,0
2002,211556,Chatham University,1,Main Campus,1058,0,0,0,,,0,,,0,1,5,0,0
2003,211556,Chatham University,1,Main Campus,1256,0,0,0,,,0,,,0,0,1,2,0
2004,211556,Chatham University,1,Main Campus,1249,0,0,0,,,0,,,0,0,4,1,0
2005,211556,Chatham University,1,Main Campus,1440,0,0,0,,,0,,,0,0,3,0,0
2006,211556,Chatham University,1,Main Campus,1590,0,0,0,,,0,,,0,0,0,0,0
2007,211556,Chatham University,1,Main Campus,1860,0,0,0,,,0,,,0,0,0,0,0
2008,211556,Chatham University,1,Main Campus,2184,0,0,0,,,0,,,0,0,0,0,0
2009,211556,Chatham University,1,Main Campus,2219,0,0,0,,,0,,,0,0,0,0,0
2010,211556,Chatham University,1,Main Campus,2266,0,0,0,,,0,,,0,0,0,0,0
2011,211556,Chatham University,1,Main Campus,2220,0,0,0,,,0,,,0,0,0,0,0
2012,211556,Chatham University,1,Main Campus,2178,0,0,0,,,0,,,0,0,0,0,0
2013,211556,Chatham University,1,Main Campus,2170,0,0,0,,,0,,,0,0,0,0,0
2014,211556,Chatham University,1,Main Campus,2134,0,0,,0,0,,0,0,0,0,0,0,0
2015,211556,Chatham University,1,Main Campus,2224,0,0,,0,0,,0,0,0,0,0,0,0
2016,211556,Chatham University,1,Main Campus,2110,0,0,,0,0,,0,0,0,0,0,0,0
