Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,190150,Columbia University in the City of New York,1,Morningside Campus,19710,0,0,0,,,0,,,1,2,3,0,0
2001,190150,Columbia University in the City of New York,2,Columbia University Medical Center,19710,0,0,0,,,0,,,0,0,0,0,0
2003,190150,Columbia University in the City of New York,1,Morningside Campus,21322,0,0,0,,,0,,,0,0,0,0,0
2003,190150,Columbia University in the City of New York,2,Columbia University Medical Center,21322,0,0,0,,,0,,,0,0,0,0,0
2005,190150,Columbia University in the City of New York,1,Morningside Campus,21983,0,0,0,,,0,,,0,2,0,0,0
2006,190150,Columbia University in the City of New York,1,Morningside Campus,22317,0,0,0,,,0,,,0,0,0,0,0
2007,190150,Columbia University in the City of New York,1,Morningside Campus,22655,0,0,0,,,0,,,0,0,1,0,0
2008,190150,Columbia University in the City of New York,1,Morningside Campus,23196,0,0,0,,,0,,,0,0,1,0,0
2009,190150,Columbia University in the City of New York,1,Morningside Campus,24230,0,0,0,,,0,,,0,0,0,0,0
2010,190150,Columbia University in the City of New York,1,Morningside Campus,25208,0,0,0,,,0,,,0,0,1,0,0
2011,190150,Columbia University in the City of New York,1,Morningside Campus,26050,0,0,0,,,0,,,0,0,0,0,0
2012,190150,Columbia University in the City of New York,1,Morningside Campus,26471,0,0,0,,,0,,,0,0,2,0,0
2013,190150,Columbia University in the City of New York,1,Morningside Campus,26957,0,0,1,,,0,,,0,0,0,0,0
2014,190150,Columbia University in the City of New York,1,Morningside Campus,27589,0,0,,0,0,,0,0,0,0,0,0,0
2015,190150,Columbia University in the City of New York,1,Morningside Campus,28086,0,0,,0,0,,0,0,0,0,0,0,0
2016,190150,Columbia University in the City of New York,1,Morningside Campus,29372,0,0,,0,0,,0,0,0,0,0,0,0
