Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,190150,Columbia University in the City of New York,1,Morningside Campus,19710,0,0,0,,,0,,,12,7,3,2,0
2001,190150,Columbia University in the City of New York,2,Columbia University Medical Center,19710,0,0,0,,,0,,,1,0,0,0,0
2002,190150,Columbia University in the City of New York,1,Morningside Campus,20583,0,0,1,,,0,,,10,5,3,7,0
2002,190150,Columbia University in the City of New York,2,Columbia University Medical Center,20583,0,0,0,,,0,,,4,0,0,1,0
2003,190150,Columbia University in the City of New York,1,Morningside Campus,21322,0,0,0,,,0,,,27,6,0,6,0
2003,190150,Columbia University in the City of New York,2,Columbia University Medical Center,21322,0,0,0,,,0,,,7,0,0,1,0
2004,190150,Columbia University in the City of New York,1,Morningside Campus,21648,0,0,0,,,0,,,14,3,1,1,0
2004,190150,Columbia University in the City of New York,2,Columbia University Medical Center,21648,0,0,0,,,0,,,1,1,0,1,0
2005,190150,Columbia University in the City of New York,1,Morningside Campus,21983,0,0,1,,,0,,,21,0,0,3,0
2005,190150,Columbia University in the City of New York,2,Columbia University Medical Center,21983,0,0,0,,,0,,,4,0,0,2,0
2006,190150,Columbia University in the City of New York,1,Morningside Campus,22317,0,0,0,,,0,,,29,8,0,2,0
2006,190150,Columbia University in the City of New York,2,Columbia University Medical Center,22317,0,0,0,,,0,,,8,0,0,5,0
2007,190150,Columbia University in the City of New York,1,Morningside Campus,22655,1,0,1,,,0,,,18,7,0,5,0
2007,190150,Columbia University in the City of New York,2,Columbia University Medical Center,22655,0,0,0,,,0,,,7,4,0,1,0
2008,190150,Columbia University in the City of New York,1,Morningside Campus,23196,1,0,1,,,0,,,13,6,0,7,0
2008,190150,Columbia University in the City of New York,2,Columbia University Medical Center,23196,0,0,2,,,0,,,7,10,0,0,0
2009,190150,Columbia University in the City of New York,1,Morningside Campus,24230,0,0,5,,,0,,,10,3,0,4,0
2009,190150,Columbia University in the City of New York,2,Columbia University Medical Center,24230,0,0,2,,,0,,,2,2,0,0,0
2010,190150,Columbia University in the City of New York,1,Morningside Campus,25208,0,0,2,,,0,,,12,6,0,2,0
2010,190150,Columbia University in the City of New York,2,Columbia University Medical Center,25208,0,0,0,,,0,,,7,1,0,5,0
2011,190150,Columbia University in the City of New York,1,Morningside Campus,26050,0,0,1,,,0,,,8,5,0,2,0
2011,190150,Columbia University in the City of New York,2,Columbia University Medical Center,26050,0,0,2,,,0,,,1,1,0,1,0
2012,190150,Columbia University in the City of New York,1,Morningside Campus,26471,3,0,2,,,0,,,4,1,0,1,0
2012,190150,Columbia University in the City of New York,2,Columbia University Medical Center,26471,0,0,0,,,0,,,12,0,0,4,0
2013,190150,Columbia University in the City of New York,1,Morningside Campus,26957,0,0,0,,,0,,,4,6,0,0,0
2013,190150,Columbia University in the City of New York,2,Columbia University Medical Center,26957,0,0,1,,,0,,,1,2,0,0,0
2014,190150,Columbia University in the City of New York,1,Morningside Campus,27589,0,0,,0,0,,0,0,3,1,0,0,0
2014,190150,Columbia University in the City of New York,2,Columbia University Medical Center,27589,0,0,,0,0,,0,0,0,1,0,0,0
2015,190150,Columbia University in the City of New York,1,Morningside Campus,28086,0,0,,1,3,,0,0,6,2,0,0,0
2015,190150,Columbia University in the City of New York,2,Columbia University Medical Center,28086,0,0,,0,1,,0,0,1,0,0,0,0
2016,190150,Columbia University in the City of New York,1,Morningside Campus,29372,0,0,,0,1,,0,0,6,0,0,3,0
2016,190150,Columbia University in the City of New York,2,Columbia University Medical Center,29372,0,0,,0,1,,0,0,0,0,0,0,0
