Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,208488,Concordia University-Portland,1,Main Campus,1040,0,0,0,,,0,,,0,0,0,3,0
2002,208488,Concordia University-Portland,1,Main Campus,1091,0,0,0,,,0,,,0,0,0,0,0
2003,208488,Concordia University-Portland,1,Main Campus,1274,0,0,0,,,0,,,0,0,0,0,0
2004,208488,Concordia University-Portland,1,Main Campus,1404,0,0,0,,,0,,,1,0,0,0,0
2005,208488,Concordia University-Portland,1,Main Campus,1506,0,0,0,,,0,,,0,0,0,1,0
2006,208488,Concordia University-Portland,1,Main Campus,1598,0,0,0,,,0,,,0,0,0,0,0
2007,208488,Concordia University-Portland,1,Main Campus,1642,0,0,0,,,0,,,0,0,0,2,0
2008,208488,Concordia University-Portland,1,Main Campus,1709,0,0,0,,,0,,,0,0,0,1,0
2009,208488,Concordia University-Portland,1,Main Campus,1901,0,0,0,,,0,,,0,0,0,3,0
2010,208488,Concordia University-Portland,1,Main Campus,2114,0,0,0,,,0,,,0,0,0,0,0
2011,208488,Concordia University-Portland,1,Main Campus,2509,0,0,0,,,0,,,1,1,0,2,0
2012,208488,Concordia University-Portland,1,Main Campus,3111,0,0,0,,,0,,,2,3,0,1,0
2013,208488,Concordia University-Portland,1,Main Campus,5428,0,0,0,,,0,,,0,1,0,0,0
2014,208488,Concordia University-Portland,1,Main Campus,7435,0,0,,0,0,,0,0,0,0,0,0,0
2015,208488,Concordia University-Portland,1,Main Campus,7182,0,0,,0,0,,0,0,1,0,0,0,0
2016,208488,Concordia University-Portland,1,Main Campus,5455,0,0,,0,0,,0,0,1,0,0,3,0
