Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,212106,Duquesne University,1,Main Campus,9451,0,0,2,,,1,,,1,1,22,1,3
2002,212106,Duquesne University,1,Main Campus,9595,0,0,1,,,0,,,0,0,20,1,0
2003,212106,Duquesne University,1,Main Campus,9701,0,0,1,,,0,,,0,0,16,1,0
2004,212106,Duquesne University,1,Main Campus,9722,0,0,2,,,0,,,1,3,25,2,0
2005,212106,Duquesne University,1,Main Campus,9916,0,0,2,,,0,,,1,1,35,1,0
2006,212106,Duquesne University,1,Main Campus,10110,0,0,0,,,0,,,1,5,14,0,0
2007,212106,Duquesne University,1,Main Campus,10296,0,0,0,,,0,,,0,1,17,0,0
2008,212106,Duquesne University,1,Main Campus,10106,0,0,1,,,0,,,0,2,25,1,1
2009,212106,Duquesne University,1,Main Campus,10294,0,0,3,,,0,,,1,1,13,3,1
2010,212106,Duquesne University,1,Main Campus,10161,0,0,2,,,0,,,0,0,8,1,0
2011,212106,Duquesne University,1,Main Campus,9933,0,0,2,,,0,,,0,0,2,0,0
2012,212106,Duquesne University,1,Main Campus,9956,0,0,1,,,0,,,1,0,1,0,0
2013,212106,Duquesne University,1,Main Campus,9904,0,0,1,,,0,,,0,0,1,0,0
2014,212106,Duquesne University,1,Main Campus,9648,0,0,,0,0,,0,0,0,1,1,0,0
2015,212106,Duquesne University,1,Main Campus,9404,0,0,,2,0,,0,0,0,0,1,1,0
2016,212106,Duquesne University,1,Main Campus,9343,0,0,,4,0,,0,0,0,0,6,0,1
