Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,139658,Emory University,1,Main Campus,11443,0,0,1,,,0,,,0,1,17,2,1
2002,139658,Emory University,1,Main Campus,11600,0,0,1,,,0,,,1,1,15,1,0
2003,139658,Emory University,1,Main Campus,11654,0,0,3,,,0,,,0,2,15,0,11
2004,139658,Emory University,1,Main Campus,11781,0,0,5,,,0,,,0,0,24,0,1
2005,139658,Emory University,1,Main Campus,12134,0,0,8,,,0,,,0,3,47,3,0
2006,139658,Emory University,1,Main Campus,12338,0,0,8,,,0,,,0,0,41,0,0
2007,139658,Emory University,1,Main Campus,12570,0,0,6,,,0,,,0,0,24,0,0
2008,139658,Emory University,1,Main Campus,12755,0,0,1,,,0,,,0,0,24,0,0
2009,139658,Emory University,1,Main Campus,12930,0,0,5,,,0,,,0,0,4,0,1
2010,139658,Emory University,1,Main Campus,13381,0,0,10,,,0,,,2,0,5,0,0
2011,139658,Emory University,1,Main Campus,13893,0,0,7,,,1,,,0,1,5,0,0
2012,139658,Emory University,1,Main Campus,14236,0,0,22,,,0,,,0,0,0,0,1
2013,139658,Emory University,1,Main Campus,14513,0,0,13,,,0,,,0,0,11,0,0
2014,139658,Emory University,1,Main Campus,14769,0,0,,21,5,,0,0,0,0,10,0,0
2015,139658,Emory University,1,Main Campus,13788,0,0,,2,6,,0,0,0,0,9,0,1
2016,139658,Emory University,1,Main Campus,14067,0,0,,3,1,,0,0,0,1,10,0,0
