Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,191241,Fordham University,1,Main Campus,13843,0,0,0,,,0,,,11,2,0,3,0
2001,191241,Fordham University,2,FORDHAM UNI-LINCOLN CENTER CAMPUS,13843,0,0,0,,,0,,,1,1,0,3,0
2001,191241,Fordham University,3,Fordham University - Westchester Campus,13843,0,0,0,,,0,,,0,0,0,0,0
2002,191241,Fordham University,1,Main Campus,14318,0,0,0,,,0,,,13,9,0,4,0
2002,191241,Fordham University,2,FORDHAM UNI-LINCOLN CENTER CAMPUS,14318,0,0,0,,,0,,,1,0,0,1,0
2002,191241,Fordham University,3,Fordham University - Westchester Campus,14318,0,0,0,,,0,,,0,0,0,0,0
2003,191241,Fordham University,1,Main Campus,14731,0,0,0,,,0,,,13,3,0,1,0
2003,191241,Fordham University,2,FORDHAM UNI-LINCOLN CENTER CAMPUS,14731,0,0,0,,,0,,,1,0,0,2,0
2003,191241,Fordham University,3,Fordham University - Westchester Campus,14731,0,0,0,,,0,,,0,0,0,0,0
2004,191241,Fordham University,1,Main Campus,14861,0,0,0,,,0,,,10,3,0,3,0
2004,191241,Fordham University,2,FORDHAM UNI-LINCOLN CENTER CAMPUS,14861,0,0,0,,,0,,,1,0,0,1,0
2005,191241,Fordham University,1,Main Campus,14664,0,0,1,,,0,,,9,4,0,9,0
2005,191241,Fordham University,2,FORDHAM UNI-LINCOLN CENTER CAMPUS,14664,0,0,0,,,0,,,0,1,0,0,0
2006,191241,Fordham University,1,Main Campus,14732,0,0,0,,,0,,,12,3,0,5,0
2006,191241,Fordham University,2,FORDHAM UNI-LINCOLN CENTER CAMPUS,14732,0,0,0,,,0,,,0,1,0,0,0
2007,191241,Fordham University,1,Main Campus,14448,0,0,0,,,0,,,8,2,0,0,0
2007,191241,Fordham University,2,FORDHAM UNI-LINCOLN CENTER CAMPUS,14448,0,0,0,,,0,,,3,3,0,1,0
2008,191241,Fordham University,1,Main Campus,14666,0,0,0,,,0,,,12,3,0,0,0
2008,191241,Fordham University,2,FORDHAM UNI-LINCOLN CENTER CAMPUS,14666,0,0,0,,,0,,,1,0,0,0,0
2009,191241,Fordham University,1,Main Campus,14544,0,0,2,,,0,,,5,5,0,3,0
2009,191241,Fordham University,2,FORDHAM UNI-LINCOLN CENTER CAMPUS,14544,0,0,1,,,0,,,1,0,0,0,0
2009,191241,Fordham University,3,Fordham University - Westchester Campus,14544,0,0,0,,,0,,,0,0,0,0,0
2010,191241,Fordham University,1,Main Campus,15158,0,0,0,,,0,,,13,3,0,2,0
2010,191241,Fordham University,2,FORDHAM UNI-LINCOLN CENTER CAMPUS,15158,0,0,0,,,0,,,2,0,0,0,0
2010,191241,Fordham University,3,Fordham University - Westchester Campus,15158,0,0,0,,,0,,,0,0,0,0,0
2011,191241,Fordham University,1,Main Campus,15189,0,0,0,,,0,,,9,0,0,0,0
2011,191241,Fordham University,2,FORDHAM UNI-LINCOLN CENTER CAMPUS,15189,0,0,0,,,0,,,0,0,0,1,0
2011,191241,Fordham University,3,Fordham University - Westchester Campus,15189,0,0,0,,,0,,,0,0,0,0,0
2011,191241,Fordham University,4,Fordham in London,15189,0,0,0,,,0,,,0,0,0,0,0
