Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2014,191241,Fordham University,1,Main Campus,15231,0,0,0
2014,191241,Fordham University,2,FORDHAM UNI-LINCOLN CENTER CAMPUS,15231,0,0,0
2014,191241,Fordham University,4,Fordham in London,15231,0,0,0
2014,191241,Fordham University,5,Forham in Granada,15231,0,0,0
2014,191241,Fordham University,6,Fordham in Pretoria,15231,0,0,0
2015,191241,Fordham University,1,Main Campus,15286,0,0,0
2015,191241,Fordham University,2,FORDHAM UNI-LINCOLN CENTER CAMPUS,15286,0,0,0
2015,191241,Fordham University,4,Fordham in London,15286,0,0,0
2015,191241,Fordham University,5,Forham in Granada,15286,0,0,0
2015,191241,Fordham University,6,Fordham in Pretoria,15286,0,0,0
2016,191241,Fordham University,1,Main Campus,15582,0,0,0
2016,191241,Fordham University,2,FORDHAM UNI-LINCOLN CENTER CAMPUS,15582,0,0,0
2016,191241,Fordham University,4,Fordham in London,15582,0,0,0
2016,191241,Fordham University,5,Forham in Granada,15582,0,0,0
2016,191241,Fordham University,6,Fordham in Pretoria,15582,0,0,0
