Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,15575,0,0,1,,,0,,,0,0,36,1,1
2002,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,16481,0,0,0,,,0,,,0,0,39,0,0
2003,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,16643,0,0,1,,,0,,,0,0,32,1,0
2006,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,17936,0,0,0,,,0,,,0,0,0,0,0
2007,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,18742,0,0,0,,,0,,,0,0,8,0,0
2010,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,20720,0,0,7,,,0,,,0,2,16,2,0
2011,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,20941,0,0,7,,,0,,,0,1,7,4,0
2012,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,21557,0,0,3,,,0,,,0,1,3,1,1
2013,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,21471,0,0,6,,,0,,,0,1,10,2,0
2014,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,23109,0,0,,9,1,,0,0,0,0,9,3,0
2015,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,25034,0,0,,2,1,,0,0,2,0,6,1,0
2016,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,26839,0,0,,5,1,,0,0,0,1,6,0,0
