Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,15575,0,0,3,,,0,,,5,0,87,42,0
2002,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,16481,0,0,0,,,0,,,3,0,128,58,0
2003,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,16643,0,0,2,,,0,,,2,1,40,70,0
2004,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,16841,0,0,1,,,0,,,2,0,41,29,1
2005,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,17135,0,0,0,,,0,,,3,2,81,18,0
2006,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,17936,0,0,1,,,0,,,1,1,91,36,0
2007,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,18742,0,0,2,,,0,,,1,2,46,44,0
2008,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,19413,0,0,1,,,0,,,2,1,106,18,0
2009,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,20291,0,0,2,,,0,,,0,2,60,29,0
2010,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,20720,0,0,2,,,0,,,2,2,26,12,0
2011,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,20941,0,0,5,,,0,,,5,3,18,15,0
2012,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,21557,0,0,6,,,0,,,3,4,16,6,0
2013,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,21471,0,0,11,,,0,,,3,1,33,16,0
2014,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,23109,0,0,,10,3,,0,0,5,3,45,16,0
2015,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,25034,0,0,,8,1,,0,0,4,2,21,13,0
2016,139755,Georgia Institute of Technology-Main Campus,1,Main Campus,26839,0,0,,5,10,,0,0,7,4,15,5,0
