Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,139940,Georgia State University,1,Main Campus,25743,0,0,2,,,1,,,1,0,5,2,0
2002,139940,Georgia State University,1,Main Campus,27462,0,0,1,,,2,,,1,2,4,0,0
2003,139940,Georgia State University,1,Main Campus,28042,0,0,0,,,0,,,0,0,2,0,0
2004,139940,Georgia State University,1,Main Campus,27261,0,0,1,,,0,,,0,1,2,2,0
2005,139940,Georgia State University,1,Main Campus,25967,0,0,0,,,0,,,2,0,0,2,0
2006,139940,Georgia State University,1,Main Campus,26135,0,0,0,,,0,,,1,0,0,2,0
2007,139940,Georgia State University,1,Main Campus,27134,0,0,1,,,0,,,0,3,0,1,0
2008,139940,Georgia State University,1,Main Campus,28229,0,0,1,,,0,,,0,1,0,0,0
2009,139940,Georgia State University,1,Main Campus,30427,0,0,4,,,0,,,0,0,2,0,0
2010,139940,Georgia State University,1,Main Campus,31533,0,0,1,,,0,,,0,3,2,0,0
2011,139940,Georgia State University,1,Main Campus,32022,0,0,4,,,0,,,0,1,2,0,0
2012,139940,Georgia State University,1,Main Campus,32087,0,0,6,,,0,,,1,1,0,0,0
2013,139940,Georgia State University,1,Main Campus,32165,0,0,5,,,0,,,1,3,0,0,0
2014,139940,Georgia State University,1,Main Campus,32556,0,0,,2,2,,0,0,0,4,0,1,0
2015,139940,Georgia State University,1,Main Campus,32058,0,0,,2,0,,0,0,0,3,0,0,0
2016,139940,Georgia State University,1,Main Campus,32237,0,0,,4,0,,0,0,0,3,2,0,0
