Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,209056,Lewis & Clark College,1,Main Campus,2947,0,0,0,,,0,,,1,0,11,0,0
2002,209056,Lewis & Clark College,1,Main Campus,3051,0,0,0,,,0,,,0,0,14,1,4
2003,209056,Lewis & Clark College,1,Main Campus,3071,0,0,1,,,0,,,0,0,10,0,4
2004,209056,Lewis & Clark College,1,Main Campus,3259,0,0,1,,,0,,,0,0,20,0,6
2005,209056,Lewis & Clark College,1,Main Campus,3433,0,0,1,,,0,,,0,1,8,0,1
2006,209056,Lewis & Clark College,1,Main Campus,3641,0,0,3,,,0,,,0,0,16,1,0
2007,209056,Lewis & Clark College,1,Main Campus,3562,0,0,3,,,0,,,0,0,16,0,0
2008,209056,Lewis & Clark College,1,Main Campus,3565,0,0,1,,,0,,,0,0,10,1,0
2009,209056,Lewis & Clark College,1,Main Campus,3523,0,0,3,,,0,,,0,1,8,0,0
2010,209056,Lewis & Clark College,1,Main Campus,3584,0,0,3,,,0,,,0,1,6,1,2
2011,209056,Lewis & Clark College,1,Main Campus,3713,0,0,6,,,0,,,0,1,6,0,1
2012,209056,Lewis & Clark College,1,Main Campus,3702,0,0,7,,,0,,,0,0,2,0,5
2013,209056,Lewis & Clark College,1,Main Campus,3521,0,0,10,,,0,,,0,0,6,1,0
2014,209056,Lewis & Clark College,1,Main Campus,3504,0,0,,6,4,,0,0,0,0,4,2,2
2015,209056,Lewis & Clark College,1,Main Campus,3526,0,0,,5,3,,0,0,0,0,4,0,0
2016,209056,Lewis & Clark College,1,Main Campus,3419,0,0,,10,5,,0,0,1,0,3,2,0
