Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,209056,Lewis & Clark College,1,Main Campus,2947,0,0,0,,,0,,,0,0,1,1,0
2002,209056,Lewis & Clark College,1,Main Campus,3051,0,0,0,,,0,,,0,0,0,1,0
2003,209056,Lewis & Clark College,1,Main Campus,3071,0,0,0,,,0,,,0,0,0,0,0
2004,209056,Lewis & Clark College,1,Main Campus,3259,0,0,0,,,0,,,0,0,0,0,0
2005,209056,Lewis & Clark College,1,Main Campus,3433,0,0,0,,,0,,,0,0,0,0,0
2006,209056,Lewis & Clark College,1,Main Campus,3641,0,0,0,,,0,,,0,0,0,0,0
2007,209056,Lewis & Clark College,1,Main Campus,3562,0,0,0,,,0,,,0,1,0,0,1
2008,209056,Lewis & Clark College,1,Main Campus,3565,0,0,0,,,0,,,0,0,0,0,0
2009,209056,Lewis & Clark College,1,Main Campus,3523,0,0,0,,,0,,,0,0,0,0,0
2010,209056,Lewis & Clark College,1,Main Campus,3584,0,0,0,,,0,,,0,0,0,0,0
2011,209056,Lewis & Clark College,1,Main Campus,3713,0,0,1,,,0,,,0,0,0,0,0
2012,209056,Lewis & Clark College,1,Main Campus,3702,0,0,0,,,0,,,0,0,0,0,0
2013,209056,Lewis & Clark College,1,Main Campus,3521,0,0,0,,,0,,,0,0,0,0,0
2014,209056,Lewis & Clark College,1,Main Campus,3504,0,0,,0,0,,0,0,0,0,0,0,0
2015,209056,Lewis & Clark College,1,Main Campus,3526,0,0,,0,0,,0,0,0,0,0,0,0
2016,209056,Lewis & Clark College,1,Main Campus,3419,0,0,,0,0,,0,0,0,0,0,0,0
