Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,127060,University of Denver,1,University Park Campus,9385,0,0,2,,,0,,,0,3,61,4,3
2002,127060,University of Denver,1,University Park Campus,9229,0,0,3,,,0,,,1,2,78,6,2
2003,127060,University of Denver,1,University Park Campus,9521,0,0,6,,,0,,,0,1,67,6,4
2004,127060,University of Denver,1,University Park Campus,9808,0,0,6,,,0,,,0,6,76,8,5
2005,127060,University of Denver,1,University Park Campus,10374,0,0,2,,,0,,,0,2,127,12,5
2006,127060,University of Denver,1,University Park Campus,10791,0,0,8,,,0,,,0,2,82,7,0
2007,127060,University of Denver,1,University Park Campus,11053,0,0,3,,,0,,,1,1,76,5,0
2008,127060,University of Denver,1,University Park Campus,11328,0,0,5,,,0,,,1,1,44,1,1
2009,127060,University of Denver,1,University Park Campus,11644,0,0,1,,,0,,,0,0,22,4,2
2010,127060,University of Denver,1,University Park Campus,11842,0,0,4,,,0,,,0,0,23,5,1
2011,127060,University of Denver,1,University Park Campus,11797,0,0,2,,,0,,,2,2,12,9,1
2012,127060,University of Denver,1,University Park Campus,11656,0,0,6,,,0,,,0,0,14,0,0
2013,127060,University of Denver,1,University Park Campus,11778,0,0,8,,,0,,,0,0,11,5,2
2014,127060,University of Denver,1,University Park Campus,11809,0,0,,14,2,,0,0,2,1,5,2,1
2015,127060,University of Denver,1,University Park Campus,11797,0,0,,7,5,,0,0,1,6,6,6,0
2016,127060,University of Denver,1,University Park Campus,11614,0,0,,19,4,,0,0,0,2,5,9,0
