Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,193900,New York University,1,NYU Main Campus,37134,0,0,4,,,0,,,0,0,80,0,5
2002,193900,New York University,1,NYU Main Campus,38096,0,0,7,,,0,,,1,0,48,0,2
2003,193900,New York University,1,NYU Main Campus,38188,0,0,9,,,0,,,0,0,71,0,0
2004,193900,New York University,1,NYU Main Campus,39408,0,0,4,,,0,,,0,1,61,0,3
2005,193900,New York University,1,NYU Main Campus,40004,0,0,8,,,0,,,1,3,125,0,2
2006,193900,New York University,1,NYU Main Campus,40870,0,0,6,,,0,,,0,1,79,0,3
2007,193900,New York University,1,NYU Main Campus,41783,0,0,6,,,0,,,0,1,75,0,0
2008,193900,New York University,1,NYU Main Campus,42189,0,0,3,,,0,,,0,1,54,0,0
2009,193900,New York University,1,NYU Main Campus,43404,0,0,3,,,0,,,0,0,53,0,0
2010,193900,New York University,1,NYU Main Campus,43797,0,0,4,,,0,,,0,0,51,0,0
2011,193900,New York University,1,NYU Main Campus,43911,0,0,5,,,0,,,0,0,25,0,2
2012,193900,New York University,1,NYU Main Campus,44516,0,0,5,,,0,,,0,0,11,0,0
2013,193900,New York University,1,NYU Main Campus,44599,0,0,5,,,0,,,0,0,8,0,0
2014,193900,New York University,1,NYU Main Campus,49274,0,0,,6,4,,0,0,0,0,3,0,0
2015,193900,New York University,1,NYU Main Campus,50027,0,0,,10,4,,0,0,0,0,4,0,0
2016,193900,New York University,1,NYU Main Campus,50550,0,0,,0,0,,0,0,0,0,1,0,0
