Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,193900,New York University,1,NYU Main Campus,37134,0,0,3,,,0,,,0,1,9,0,1
2002,193900,New York University,1,NYU Main Campus,38096,0,0,1,,,0,,,0,0,22,0,0
2003,193900,New York University,1,NYU Main Campus,38188,0,0,4,,,0,,,0,0,9,0,0
2004,193900,New York University,1,NYU Main Campus,39408,0,0,5,,,0,,,0,0,14,0,0
2005,193900,New York University,1,NYU Main Campus,40004,0,0,6,,,0,,,1,0,122,0,0
2006,193900,New York University,1,NYU Main Campus,40870,0,0,3,,,0,,,0,0,86,0,0
2007,193900,New York University,1,NYU Main Campus,41783,1,0,0,,,0,,,0,0,48,0,0
2008,193900,New York University,1,NYU Main Campus,42189,0,0,3,,,0,,,0,0,47,0,0
2009,193900,New York University,1,NYU Main Campus,43404,0,0,3,,,0,,,0,0,44,0,0
2010,193900,New York University,1,NYU Main Campus,43797,0,0,1,,,0,,,0,0,53,0,0
2011,193900,New York University,1,NYU Main Campus,43911,0,0,1,,,0,,,0,0,28,0,0
2012,193900,New York University,1,NYU Main Campus,44516,0,0,1,,,0,,,0,0,8,0,0
2013,193900,New York University,1,NYU Main Campus,44599,0,0,4,,,0,,,0,0,5,0,0
2014,193900,New York University,1,NYU Main Campus,49274,0,0,,0,1,,0,0,1,0,4,0,0
2015,193900,New York University,1,NYU Main Campus,50027,0,0,,4,2,,0,0,0,1,10,0,0
2016,193900,New York University,1,NYU Main Campus,50550,0,0,,16,8,,0,0,0,0,22,0,3
