Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,167358,Northeastern University,1,Main Campus,23422,0,0,0,,,0,,,0,0,0,0,0
2002,167358,Northeastern University,1,Main Campus,23357,0,0,0,,,0,,,0,0,0,0,0
2003,167358,Northeastern University,1,Main Campus,22944,1,0,0,,,0,,,0,0,0,0,0
2004,167358,Northeastern University,1,Main Campus,22932,0,0,0,,,0,,,0,0,0,0,0
2005,167358,Northeastern University,1,Main Campus,22604,0,0,0,,,0,,,0,0,1,0,0
2006,167358,Northeastern University,1,Main Campus,23411,0,0,0,,,0,,,0,0,0,0,0
2007,167358,Northeastern University,1,Main Campus,24434,0,0,0,,,0,,,1,1,14,0,0
2008,167358,Northeastern University,1,Main Campus,25837,0,0,0,,,0,,,0,0,10,0,0
2009,167358,Northeastern University,1,Main Campus,27537,0,0,0,,,0,,,1,0,2,0,0
2010,167358,Northeastern University,1,Main Campus,29519,0,0,0,,,0,,,0,1,2,0,0
2011,167358,Northeastern University,1,Main Campus,26959,0,0,0,,,0,,,0,0,0,0,0
2012,167358,Northeastern University,1,Main Campus,27694,0,0,0,,,0,,,0,0,2,0,0
2016,167358,Northeastern University,1,Main Campus,20381,0,0,,0,0,,0,0,4,3,6,1,0
