Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,167358,Northeastern University,1,Main Campus,23422,0,0,7,,,0,,,1,8,30,4,1
2002,167358,Northeastern University,1,Main Campus,23357,0,0,7,,,0,,,7,8,26,6,2
2003,167358,Northeastern University,1,Main Campus,22944,0,0,11,,,0,,,9,7,26,4,2
2004,167358,Northeastern University,1,Main Campus,22932,0,0,7,,,0,,,3,3,5,2,1
2005,167358,Northeastern University,1,Main Campus,22604,0,0,9,,,0,,,3,3,24,2,1
2006,167358,Northeastern University,1,Main Campus,23411,0,0,11,,,0,,,6,2,41,2,3
2007,167358,Northeastern University,1,Main Campus,24434,0,0,6,,,0,,,2,0,31,1,0
2008,167358,Northeastern University,1,Main Campus,25837,0,0,5,,,0,,,3,0,24,1,0
2009,167358,Northeastern University,1,Main Campus,27537,0,0,2,,,0,,,8,3,15,0,0
2010,167358,Northeastern University,1,Main Campus,29519,0,0,2,,,0,,,3,3,16,4,0
2011,167358,Northeastern University,1,Main Campus,26959,0,0,6,,,0,,,3,5,17,0,0
2012,167358,Northeastern University,1,Main Campus,27694,0,0,4,,,1,,,6,3,14,0,0
2013,167358,Northeastern University,1,Main Campus,20053,0,0,11,,,0,,,5,4,25,0,1
2014,167358,Northeastern University,1,Main Campus,19798,0,0,,12,2,,0,0,0,1,12,0,0
2015,167358,Northeastern University,1,Main Campus,19940,0,0,,8,6,,0,0,0,3,7,0,3
2016,167358,Northeastern University,1,Main Campus,20381,0,0,,11,4,,0,0,2,2,14,0,0
