Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,167358,Northeastern University,1,Main Campus,23422,0,0,6,,,0,,,0,3,19,0,1
2002,167358,Northeastern University,1,Main Campus,23357,0,0,5,,,0,,,1,5,18,0,2
2003,167358,Northeastern University,1,Main Campus,22944,0,0,6,,,0,,,1,2,16,0,2
2004,167358,Northeastern University,1,Main Campus,22932,0,0,7,,,0,,,0,2,4,0,1
2005,167358,Northeastern University,1,Main Campus,22604,0,0,3,,,0,,,0,1,20,0,0
2006,167358,Northeastern University,1,Main Campus,23411,0,0,10,,,0,,,1,2,22,0,0
2007,167358,Northeastern University,1,Main Campus,24434,0,0,6,,,0,,,0,0,19,0,0
2008,167358,Northeastern University,1,Main Campus,25837,0,0,3,,,0,,,0,0,14,0,0
2009,167358,Northeastern University,1,Main Campus,27537,0,0,2,,,0,,,1,1,5,0,0
2010,167358,Northeastern University,1,Main Campus,29519,0,0,2,,,0,,,0,2,10,0,0
2011,167358,Northeastern University,1,Main Campus,26959,0,0,5,,,0,,,0,4,6,0,0
2012,167358,Northeastern University,1,Main Campus,27694,0,0,3,,,0,,,0,2,10,0,0
2013,167358,Northeastern University,1,Main Campus,20053,0,0,9,,,0,,,0,1,16,0,0
2014,167358,Northeastern University,1,Main Campus,19798,0,0,,11,1,,0,0,0,0,7,0,0
2015,167358,Northeastern University,1,Main Campus,19940,0,0,,8,5,,0,0,0,1,2,0,3
2016,167358,Northeastern University,1,Main Campus,20381,0,0,,9,3,,0,0,1,0,0,0,0
