Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,167358,Northeastern University,1,Main Campus,23422,0,0,0,,,0,,,0,0,0,0,0
2002,167358,Northeastern University,1,Main Campus,23357,0,0,0,,,0,,,0,0,0,0,0
2003,167358,Northeastern University,1,Main Campus,22944,0,0,0,,,0,,,49,26,0,54,0
2004,167358,Northeastern University,1,Main Campus,22932,1,0,0,,,0,,,23,9,0,14,0
2005,167358,Northeastern University,1,Main Campus,22604,0,0,0,,,0,,,48,30,0,16,0
2006,167358,Northeastern University,1,Main Campus,23411,0,0,2,,,0,,,39,14,0,55,2
2007,167358,Northeastern University,1,Main Campus,24434,0,0,0,,,0,,,36,34,0,12,1
2008,167358,Northeastern University,1,Main Campus,25837,0,0,0,,,0,,,43,21,0,11,0
2009,167358,Northeastern University,1,Main Campus,27537,0,0,2,,,0,,,49,13,0,17,0
2010,167358,Northeastern University,1,Main Campus,29519,0,0,1,,,0,,,52,15,0,13,0
2011,167358,Northeastern University,1,Main Campus,26959,0,0,4,,,0,,,61,20,0,13,0
2012,167358,Northeastern University,1,Main Campus,27694,1,0,1,,,0,,,57,26,0,11,0
2013,167358,Northeastern University,1,Main Campus,20053,1,0,2,,,0,,,33,16,0,12,0
2014,167358,Northeastern University,1,Main Campus,19798,0,0,,0,8,,0,0,23,17,0,8,0
2015,167358,Northeastern University,1,Main Campus,19940,0,0,,0,4,,0,0,25,22,0,7,0
2016,167358,Northeastern University,1,Main Campus,20381,0,0,,1,0,,0,0,9,4,0,2,0
