Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,105330,Northern Arizona University,1,Flagstaff Mountain Campus,19728,0,0,0,,,0,,,0,0,0,0,0
2002,105330,Northern Arizona University,1,Flagstaff Mountain Campus,19907,0,0,0,,,0,,,0,0,0,0,0
2003,105330,Northern Arizona University,1,Flagstaff Mountain Campus,18820,0,0,0,,,0,,,0,0,1,0,0
2004,105330,Northern Arizona University,1,Flagstaff Mountain Campus,19137,0,0,0,,,0,,,0,0,0,0,0
2005,105330,Northern Arizona University,1,Flagstaff Mountain Campus,18773,0,0,0,,,0,,,0,0,0,0,0
2006,105330,Northern Arizona University,1,Flagstaff Mountain Campus,20555,0,0,0,,,0,,,0,0,3,0,0
2007,105330,Northern Arizona University,1,Flagstaff Mountain Campus,21347,0,0,0,,,0,,,0,0,0,0,0
2008,105330,Northern Arizona University,1,Flagstaff Mountain Campus,22502,0,0,0,,,0,,,0,0,1,0,0
2009,105330,Northern Arizona University,1,Flagstaff Mountain Campus,23597,0,0,0,,,0,,,0,0,0,0,0
2010,105330,Northern Arizona University,1,Flagstaff Mountain Campus,25197,0,0,5,,,0,,,1,6,34,9,0
2011,105330,Northern Arizona University,1,Flagstaff Mountain Campus,25359,0,0,8,,,1,,,0,13,26,11,0
2012,105330,Northern Arizona University,1,Flagstaff Mountain Campus,25991,0,0,2,,,0,,,0,0,5,3,0
2013,105330,Northern Arizona University,1,Flagstaff Mountain Campus,26594,0,0,0,,,0,,,0,0,1,0,0
2014,105330,Northern Arizona University,1,Flagstaff Mountain Campus,27705,0,0,,0,0,,0,0,0,0,1,1,1
2015,105330,Northern Arizona University,1,Flagstaff Mountain Campus,29021,0,0,,2,0,,0,0,0,1,5,0,0
2016,105330,Northern Arizona University,1,Flagstaff Mountain Campus,30361,0,0,,0,0,,0,0,0,0,0,0,0
