Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,105330,Northern Arizona University,1,Flagstaff Mountain Campus,19728,0,0,5,,,0,,,0,10,48,16,4
2002,105330,Northern Arizona University,1,Flagstaff Mountain Campus,19907,0,0,10,,,1,,,4,11,70,9,11
2003,105330,Northern Arizona University,1,Flagstaff Mountain Campus,18820,0,0,7,,,1,,,1,12,61,7,7
2004,105330,Northern Arizona University,1,Flagstaff Mountain Campus,19137,0,0,9,,,0,,,2,10,55,8,4
2005,105330,Northern Arizona University,1,Flagstaff Mountain Campus,18773,0,0,6,,,0,,,2,14,60,9,3
2006,105330,Northern Arizona University,1,Flagstaff Mountain Campus,20555,0,0,6,,,1,,,3,8,56,14,2
2007,105330,Northern Arizona University,1,Flagstaff Mountain Campus,21347,0,0,8,,,0,,,1,9,58,8,2
2008,105330,Northern Arizona University,1,Flagstaff Mountain Campus,22502,0,0,10,,,0,,,1,4,36,7,6
2009,105330,Northern Arizona University,1,Flagstaff Mountain Campus,23597,0,0,12,,,0,,,0,5,32,1,7
2010,105330,Northern Arizona University,1,Flagstaff Mountain Campus,25197,0,0,7,,,0,,,2,4,18,2,1
2011,105330,Northern Arizona University,1,Flagstaff Mountain Campus,25359,0,0,13,,,0,,,3,5,35,2,1
2012,105330,Northern Arizona University,1,Flagstaff Mountain Campus,25991,0,0,16,,,0,,,1,1,51,2,2
2012,105330,Northern Arizona University,2,Apache Junction Campus,25991,0,0,0,,,0,,,0,0,0,1,0
2012,105330,Northern Arizona University,3,NAU- Chandler-Gilbert,25991,0,0,0,,,0,,,0,0,0,0,0
2012,105330,Northern Arizona University,5,NAU - Mesa,25991,0,0,0,,,0,,,0,0,0,0,0
2012,105330,Northern Arizona University,6,NAU - West Valley,25991,0,0,0,,,0,,,0,0,0,1,0
2012,105330,Northern Arizona University,7,NAU - Glendale,25991,0,0,0,,,0,,,0,0,0,0,0
2012,105330,Northern Arizona University,9,NAU - Kingman,25991,0,0,0,,,0,,,0,0,0,0,0
2012,105330,Northern Arizona University,10,NAU - North Valley,25991,0,0,0,,,0,,,0,0,0,0,0
2012,105330,Northern Arizona University,11,NAU - Paradise Valley,25991,0,0,0,,,0,,,0,0,0,1,0
2012,105330,Northern Arizona University,12,NAU - Phoenix,25991,0,0,0,,,0,,,0,2,4,7,0
2012,105330,Northern Arizona University,13,Scottsdale Community College,25991,0,0,0,,,0,,,0,0,2,2,0
2012,105330,Northern Arizona University,14,NAU - Show Low,25991,0,0,0,,,0,,,0,0,2,1,0
2012,105330,Northern Arizona University,15,Signal Peak Campus,25991,0,0,0,,,0,,,0,0,0,0,0
