Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,105330,Northern Arizona University,1,Flagstaff Mountain Campus,19728,0,0,5,,,0,,,0,7,32,0,3
2002,105330,Northern Arizona University,1,Flagstaff Mountain Campus,19907,0,0,8,,,0,,,1,7,46,0,5
2003,105330,Northern Arizona University,1,Flagstaff Mountain Campus,18820,0,0,6,,,1,,,0,7,42,0,5
2004,105330,Northern Arizona University,1,Flagstaff Mountain Campus,19137,0,0,8,,,0,,,0,6,36,0,3
2005,105330,Northern Arizona University,1,Flagstaff Mountain Campus,18773,0,0,6,,,0,,,0,11,37,0,3
2006,105330,Northern Arizona University,1,Flagstaff Mountain Campus,20555,0,0,6,,,1,,,0,7,21,0,2
2007,105330,Northern Arizona University,1,Flagstaff Mountain Campus,21347,0,0,8,,,0,,,0,4,31,0,2
2008,105330,Northern Arizona University,1,Flagstaff Mountain Campus,22502,0,0,7,,,0,,,0,1,28,0,3
2009,105330,Northern Arizona University,1,Flagstaff Mountain Campus,23597,0,0,9,,,0,,,0,1,26,0,7
2010,105330,Northern Arizona University,1,Flagstaff Mountain Campus,25197,0,0,7,,,0,,,0,5,15,0,0
2011,105330,Northern Arizona University,1,Flagstaff Mountain Campus,25359,0,0,12,,,0,,,0,1,31,0,1
2012,105330,Northern Arizona University,1,Flagstaff Mountain Campus,25991,0,0,14,,,0,,,0,1,41,0,1
2013,105330,Northern Arizona University,1,Flagstaff Mountain Campus,26594,0,0,10,,,0,,,2,5,19,0,1
2014,105330,Northern Arizona University,1,Flagstaff Mountain Campus,27705,0,0,,5,2,,0,0,0,5,29,0,0
2015,105330,Northern Arizona University,1,Flagstaff Mountain Campus,29021,0,0,,17,2,,0,0,0,2,7,0,0
2016,105330,Northern Arizona University,1,Flagstaff Mountain Campus,30361,0,0,,17,1,,0,0,1,1,3,0,1
