Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2014,105330,Northern Arizona University,1,Flagstaff Mountain Campus,27705,1,0,0
2014,105330,Northern Arizona University,2,Apache Junction Campus,27705,0,0,0
2014,105330,Northern Arizona University,3,NAU- Chandler-Gilbert,27705,0,0,0
2014,105330,Northern Arizona University,5,NAU - Mesa,27705,0,0,0
2014,105330,Northern Arizona University,6,NAU - West Valley,27705,0,0,0
2014,105330,Northern Arizona University,7,NAU - Glendale,27705,0,0,0
2014,105330,Northern Arizona University,9,NAU - Kingman,27705,0,0,0
2014,105330,Northern Arizona University,10,NAU - North Valley,27705,0,0,0
2014,105330,Northern Arizona University,11,NAU - Paradise Valley,27705,0,0,0
2014,105330,Northern Arizona University,12,NAU - Phoenix,27705,0,0,0
2014,105330,Northern Arizona University,13,Scottsdale Community College,27705,0,0,0
2014,105330,Northern Arizona University,14,NAU - Show Low,27705,0,0,0
2014,105330,Northern Arizona University,15,Signal Peak Campus,27705,0,0,0
2014,105330,Northern Arizona University,16,South Mountain Community College,27705,0,0,0
2014,105330,Northern Arizona University,17,NAU - Thatcher Campus,27705,0,0,0
2014,105330,Northern Arizona University,18,NAU - Tucson Campus,27705,0,0,0
2014,105330,Northern Arizona University,19,NAU - Prescott,27705,0,0,0
2014,105330,Northern Arizona University,20,NAU  - Yavapai Prescott Valley Campus,27705,0,0,0
2014,105330,Northern Arizona University,21,NAU- Yuma,27705,0,0,0
2014,105330,Northern Arizona University,23,Communiversity At Surprise,27705,0,0,0
2014,105330,Northern Arizona University,25,Phoenix Biomedical Campus,27705,0,0,0
2014,105330,Northern Arizona University,27,NAU In Costa Rica,27705,0,0,0
2015,105330,Northern Arizona University,1,Flagstaff Mountain Campus,29021,0,0,0
2015,105330,Northern Arizona University,3,NAU- Chandler-Gilbert,29021,0,0,0
2015,105330,Northern Arizona University,5,NAU - Mesa,29021,0,0,0
2015,105330,Northern Arizona University,6,NAU - West Valley,29021,0,0,0
2015,105330,Northern Arizona University,7,NAU - Glendale,29021,0,0,0
2015,105330,Northern Arizona University,9,NAU - Kingman,29021,0,0,0
2015,105330,Northern Arizona University,10,NAU - North Valley,29021,0,0,0
2015,105330,Northern Arizona University,11,NAU - Paradise Valley,29021,0,0,0
2015,105330,Northern Arizona University,12,NAU - Phoenix,29021,0,0,0
2015,105330,Northern Arizona University,13,Scottsdale Community College,29021,0,0,0
2015,105330,Northern Arizona University,14,NAU - Show Low,29021,0,0,0
2015,105330,Northern Arizona University,15,Signal Peak Campus,29021,0,0,0
2015,105330,Northern Arizona University,16,South Mountain Community College,29021,0,0,0
2015,105330,Northern Arizona University,17,NAU - Thatcher Campus,29021,0,0,0
2015,105330,Northern Arizona University,18,NAU - Tucson Campus,29021,0,0,0
2015,105330,Northern Arizona University,19,NAU - Prescott,29021,0,0,0
2015,105330,Northern Arizona University,20,NAU  - Yavapai Prescott Valley Campus,29021,0,0,0
2015,105330,Northern Arizona University,21,NAU- Yuma,29021,0,0,0
2015,105330,Northern Arizona University,23,Communiversity At Surprise,29021,0,0,0
2015,105330,Northern Arizona University,25,Phoenix Biomedical Campus,29021,0,0,0
2015,105330,Northern Arizona University,27,NAU In Costa Rica,29021,0,0,0
2015,105330,Northern Arizona University,28,Gateway Community College,29021,0,0,0
2015,105330,Northern Arizona University,29,Communiversity at Queen Creek,29021,0,0,0
2015,105330,Northern Arizona University,30,NAU – East Valley,29021,0,0,0
2015,105330,Northern Arizona University,31,NAU- Tucson North,29021,0,0,0
2016,105330,Northern Arizona University,1,Flagstaff Mountain Campus,30361,0,0,0
2016,105330,Northern Arizona University,3,NAU- Chandler-Gilbert,30361,0,0,0
2016,105330,Northern Arizona University,5,NAU - Mesa,30361,0,0,0
2016,105330,Northern Arizona University,6,NAU - West Valley,30361,0,0,0
2016,105330,Northern Arizona University,7,NAU - Glendale,30361,0,0,0
2016,105330,Northern Arizona University,9,NAU - Kingman,30361,0,0,0
2016,105330,Northern Arizona University,10,NAU - North Valley,30361,0,0,0
2016,105330,Northern Arizona University,11,NAU - Paradise Valley,30361,0,0,0
2016,105330,Northern Arizona University,12,NAU - Phoenix,30361,0,0,0
2016,105330,Northern Arizona University,13,Scottsdale Community College,30361,0,0,0
2016,105330,Northern Arizona University,14,NAU - Show Low,30361,0,0,0
2016,105330,Northern Arizona University,15,Signal Peak Campus,30361,0,0,0
2016,105330,Northern Arizona University,16,South Mountain Community College,30361,0,0,0
2016,105330,Northern Arizona University,17,NAU - Thatcher Campus,30361,0,0,0
2016,105330,Northern Arizona University,18,NAU - Tucson Campus,30361,0,0,0
2016,105330,Northern Arizona University,19,NAU - Prescott,30361,0,0,0
2016,105330,Northern Arizona University,20,NAU  - Yavapai Prescott Valley Campus,30361,0,0,0
2016,105330,Northern Arizona University,21,NAU- Yuma,30361,0,0,0
2016,105330,Northern Arizona University,23,Communiversity At Surprise,30361,0,0,0
2016,105330,Northern Arizona University,25,Phoenix Biomedical Campus,30361,0,0,0
2016,105330,Northern Arizona University,27,NAU In Costa Rica,30361,0,0,0
2016,105330,Northern Arizona University,28,Gateway Community College,30361,0,0,0
2016,105330,Northern Arizona University,29,Communiversity at Queen Creek,30361,0,0,0
2016,105330,Northern Arizona University,30,NAU – East Valley,30361,0,0,0
2016,105330,Northern Arizona University,31,NAU- Tucson North,30361,0,0,0
