Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,204796,Ohio State University-Main Campus,1,Main Campus,48477,0,0,0,,,1,,,6,2,34,10,0
2002,204796,Ohio State University-Main Campus,1,Main Campus,49676,0,0,1,,,0,,,0,1,18,6,0
2003,204796,Ohio State University-Main Campus,1,Main Campus,50731,0,0,0,,,0,,,2,0,10,0,0
2004,204796,Ohio State University-Main Campus,1,Main Campus,50995,0,0,0,,,0,,,1,1,9,4,0
2005,204796,Ohio State University-Main Campus,1,Main Campus,50504,0,0,0,,,0,,,0,3,10,0,0
2006,204796,Ohio State University-Main Campus,1,Main Campus,51818,0,0,0,,,0,,,2,0,12,0,0
2007,204796,Ohio State University-Main Campus,1,Main Campus,52568,0,0,2,,,0,,,0,0,6,0,0
2008,204796,Ohio State University-Main Campus,1,Main Campus,53715,0,0,1,,,0,,,0,0,20,0,0
2009,204796,Ohio State University-Main Campus,1,Main Campus,55014,0,0,1,,,0,,,4,2,16,3,0
2010,204796,Ohio State University-Main Campus,1,Main Campus,56064,0,0,2,,,0,,,3,0,17,5,0
2011,204796,Ohio State University-Main Campus,1,Main Campus,56867,0,0,5,,,0,,,0,1,15,3,0
2012,204796,Ohio State University-Main Campus,1,Main Campus,56387,0,0,5,,,0,,,2,3,14,1,0
2013,204796,Ohio State University-Main Campus,1,Main Campus,57466,0,0,3,,,0,,,3,0,3,1,0
2014,204796,Ohio State University-Main Campus,1,Main Campus,58322,0,0,,2,2,,0,0,0,5,5,0,0
2015,204796,Ohio State University-Main Campus,1,Main Campus,58663,0,0,,5,1,,0,0,0,1,12,5,0
2016,204796,Ohio State University-Main Campus,1,Main Campus,59482,0,0,,5,2,,0,0,2,1,3,6,0
