Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,204796,Ohio State University-Main Campus,1,Main Campus,48477,0,0,3,,,0,,,11,8,150,24,7
2002,204796,Ohio State University-Main Campus,1,Main Campus,49676,0,0,7,,,0,,,17,4,190,16,7
2003,204796,Ohio State University-Main Campus,1,Main Campus,50731,0,0,9,,,0,,,9,2,165,14,3
2004,204796,Ohio State University-Main Campus,1,Main Campus,50995,0,0,18,,,0,,,11,0,291,41,10
2005,204796,Ohio State University-Main Campus,1,Main Campus,50504,0,0,29,,,0,,,10,0,297,27,6
2006,204796,Ohio State University-Main Campus,1,Main Campus,51818,0,0,53,,,0,,,6,0,329,19,4
2007,204796,Ohio State University-Main Campus,1,Main Campus,52568,0,0,65,,,1,,,11,0,212,17,17
2008,204796,Ohio State University-Main Campus,1,Main Campus,53715,0,0,32,,,0,,,6,5,197,21,8
2009,204796,Ohio State University-Main Campus,1,Main Campus,55014,0,0,20,,,0,,,10,4,178,13,10
2010,204796,Ohio State University-Main Campus,1,Main Campus,56064,1,0,12,,,0,,,11,5,147,11,8
2011,204796,Ohio State University-Main Campus,1,Main Campus,56867,0,0,28,,,0,,,7,0,22,8,6
2012,204796,Ohio State University-Main Campus,1,Main Campus,56387,0,0,21,,,0,,,2,4,22,8,7
2013,204796,Ohio State University-Main Campus,1,Main Campus,57466,0,0,24,,,0,,,5,2,9,12,8
2014,204796,Ohio State University-Main Campus,1,Main Campus,58322,0,0,,20,12,,0,1,8,6,4,11,0
2015,204796,Ohio State University-Main Campus,1,Main Campus,58663,0,0,,25,13,,0,0,5,7,14,3,3
2016,204796,Ohio State University-Main Campus,1,Main Campus,59482,0,0,,61,22,,0,0,7,16,19,12,2
