Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,204796,Ohio State University-Main Campus,1,Main Campus,48477,0,0,1,,,0,,,0,1,73,0,4
2002,204796,Ohio State University-Main Campus,1,Main Campus,49676,0,0,4,,,0,,,0,2,66,0,3
2003,204796,Ohio State University-Main Campus,1,Main Campus,50731,0,0,7,,,0,,,0,0,74,0,2
2004,204796,Ohio State University-Main Campus,1,Main Campus,50995,0,0,6,,,0,,,0,0,66,0,4
2005,204796,Ohio State University-Main Campus,1,Main Campus,50504,0,0,14,,,0,,,2,0,94,0,4
2006,204796,Ohio State University-Main Campus,1,Main Campus,51818,0,0,16,,,0,,,0,0,99,0,3
2007,204796,Ohio State University-Main Campus,1,Main Campus,52568,0,0,12,,,0,,,0,0,39,0,13
2008,204796,Ohio State University-Main Campus,1,Main Campus,53715,0,0,7,,,0,,,1,0,56,0,7
2009,204796,Ohio State University-Main Campus,1,Main Campus,55014,0,0,8,,,0,,,0,0,73,0,9
2010,204796,Ohio State University-Main Campus,1,Main Campus,56064,0,0,7,,,0,,,0,1,46,0,4
2011,204796,Ohio State University-Main Campus,1,Main Campus,56867,0,0,19,,,0,,,0,0,4,0,6
2012,204796,Ohio State University-Main Campus,1,Main Campus,56387,0,0,14,,,0,,,0,2,7,0,4
2013,204796,Ohio State University-Main Campus,1,Main Campus,57466,0,0,11,,,0,,,0,0,4,0,6
2014,204796,Ohio State University-Main Campus,1,Main Campus,58322,0,0,,17,6,,0,1,0,1,3,0,0
2015,204796,Ohio State University-Main Campus,1,Main Campus,58663,0,0,,21,9,,0,0,0,2,4,0,3
2016,204796,Ohio State University-Main Campus,1,Main Campus,59482,0,0,,50,8,,0,0,0,1,6,0,1
