Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,204796,Ohio State University-Main Campus,1,Main Campus,48477,3,0,40,,,7,,,196,99,983,318,0
2002,204796,Ohio State University-Main Campus,1,Main Campus,49676,2,0,48,,,0,,,212,104,800,281,3
2003,204796,Ohio State University-Main Campus,1,Main Campus,50731,8,0,12,,,0,,,183,84,705,275,5
2004,204796,Ohio State University-Main Campus,1,Main Campus,50995,0,0,1,,,0,,,5,1,0,0,0
2005,204796,Ohio State University-Main Campus,1,Main Campus,50504,0,0,0,,,0,,,0,0,0,0,0
2006,204796,Ohio State University-Main Campus,1,Main Campus,51818,0,0,0,,,0,,,0,0,0,0,0
2007,204796,Ohio State University-Main Campus,1,Main Campus,52568,0,0,1,,,0,,,7,1,0,2,0
2008,204796,Ohio State University-Main Campus,1,Main Campus,53715,0,0,4,,,0,,,4,1,0,0,0
2009,204796,Ohio State University-Main Campus,1,Main Campus,55014,0,0,0,,,0,,,6,3,0,5,0
2010,204796,Ohio State University-Main Campus,1,Main Campus,56064,0,0,2,,,0,,,8,3,0,4,0
2011,204796,Ohio State University-Main Campus,1,Main Campus,56867,0,0,1,,,0,,,10,2,0,2,0
2012,204796,Ohio State University-Main Campus,1,Main Campus,56387,0,0,0,,,0,,,7,4,0,2,0
2013,204796,Ohio State University-Main Campus,1,Main Campus,57466,0,0,0,,,0,,,9,1,0,7,0
2014,204796,Ohio State University-Main Campus,1,Main Campus,58322,0,0,,0,0,,0,0,4,1,0,1,0
2015,204796,Ohio State University-Main Campus,1,Main Campus,58663,0,0,,0,0,,0,0,13,1,0,5,0
2016,204796,Ohio State University-Main Campus,1,Main Campus,59482,0,0,,0,0,,0,0,7,5,0,3,0
