Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,209542,Oregon State University,1,Main Campus,18013,0,0,10,,,0,,,0,0,9,0,2
2002,209542,Oregon State University,1,Main Campus,18764,0,0,0,,,0,,,0,0,3,0,0
2003,209542,Oregon State University,1,Main Campus,18958,0,0,1,,,0,,,1,0,26,0,2
2004,209542,Oregon State University,1,Main Campus,19153,0,0,7,,,0,,,0,0,13,0,1
2005,209542,Oregon State University,1,Main Campus,19224,0,0,4,,,0,,,0,0,12,0,1
2006,209542,Oregon State University,1,Main Campus,19352,0,0,0,,,0,,,0,0,10,0,1
2007,209542,Oregon State University,1,Main Campus,19738,0,0,3,,,0,,,0,0,11,0,0
2008,209542,Oregon State University,1,Main Campus,20305,0,0,2,,,0,,,0,0,6,0,0
2009,209542,Oregon State University,1,Main Campus,21950,0,0,2,,,0,,,0,0,7,0,0
2010,209542,Oregon State University,1,Main Campus,23753,0,0,7,,,0,,,0,0,9,0,0
2011,209542,Oregon State University,1,Main Campus,24962,0,0,1,,,0,,,0,1,13,0,2
2012,209542,Oregon State University,1,Main Campus,26363,0,0,1,,,0,,,0,6,12,0,0
2013,209542,Oregon State University,1,Main Campus,27902,0,0,6,,,0,,,0,1,7,0,3
2014,209542,Oregon State University,1,Main Campus,28886,0,0,,6,3,,0,0,0,0,4,0,0
2015,209542,Oregon State University,1,Main Campus,29576,0,0,,3,4,,0,0,0,0,8,0,2
2016,209542,Oregon State University,1,Main Campus,30354,0,0,,4,5,,0,1,0,2,10,0,7
