Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,194310,Pace University-New York,1,Pace University,13336,0,0,0,,,0,,,0,0,0,0,0
2002,194310,Pace University-New York,1,Pace University,14096,0,0,1,,,1,,,0,1,0,0,0
2003,194310,Pace University-New York,1,Pace University,13962,0,0,0,,,0,,,0,0,1,0,0
2004,194310,Pace University-New York,1,Pace University,13670,0,0,0,,,0,,,0,0,0,0,0
2005,194310,Pace University-New York,1,Pace University,14177,0,0,0,,,0,,,0,0,1,0,0
2006,194310,Pace University-New York,1,Pace University,13463,0,0,0,,,0,,,0,0,0,0,0
2007,194310,Pace University-New York,1,Pace University,12912,0,0,0,,,0,,,0,0,0,0,0
2008,194310,Pace University-New York,1,Pace University,12704,0,0,0,,,0,,,0,0,0,0,0
2009,194310,Pace University-New York,1,Pace University,12706,0,0,0,,,0,,,0,0,0,0,0
2010,194310,Pace University-New York,1,Pace University,12752,0,0,0,,,0,,,0,0,0,0,0
2011,194310,Pace University-New York,1,Pace University,12593,0,0,0,,,0,,,0,0,0,0,0
2012,194310,Pace University-New York,1,Pace University,12772,0,0,0,,,0,,,0,1,0,0,0
2013,194310,Pace University-New York,1,Pace University,12624,0,0,0,,,0,,,0,0,0,0,0
2014,194310,Pace University-New York,1,Pace University,12857,0,0,,6,0,,0,0,0,0,0,0,0
2015,194310,Pace University-New York,1,Pace University,12843,0,0,,0,0,,0,0,0,0,0,0,0
2016,194310,Pace University-New York,1,Pace University,13245,0,0,,1,2,,0,0,0,0,0,0,0
