Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,209807,Portland State University,1,Portland State University,20024,0,0,1,,,5,,,3,4,19,4,0
2002,209807,Portland State University,1,Portland State University,21672,0,0,2,,,8,,,1,1,25,8,5
2003,209807,Portland State University,1,Portland State University,23081,0,0,5,,,0,,,6,4,23,12,1
2004,209807,Portland State University,1,Portland State University,23444,0,0,3,,,0,,,2,2,89,7,1
2005,209807,Portland State University,1,Portland State University,23929,0,0,2,,,1,,,4,3,59,16,1
2006,209807,Portland State University,1,Portland State University,24254,0,0,3,,,0,,,1,7,38,14,1
2007,209807,Portland State University,1,Portland State University,24963,0,0,2,,,0,,,3,5,25,23,4
2008,209807,Portland State University,1,Portland State University,26382,0,0,3,,,0,,,3,2,26,15,3
2009,209807,Portland State University,1,Portland State University,27901,0,0,2,,,0,,,1,1,39,8,2
2010,209807,Portland State University,1,Portland State University,28035,0,0,4,,,0,,,1,3,41,13,5
2011,209807,Portland State University,1,Portland State University,28584,0,0,8,,,0,,,1,0,41,3,1
2012,209807,Portland State University,1,Portland State University,28287,0,0,9,,,0,,,0,1,147,4,1
2013,209807,Portland State University,1,Portland State University,28260,0,0,12,,,0,,,2,4,155,1,0
2014,209807,Portland State University,1,Portland State University,27696,0,0,,5,6,,0,2,1,4,110,0,0
2015,209807,Portland State University,1,Portland State University,27488,0,0,,7,4,,0,0,1,3,108,0,3
2016,209807,Portland State University,1,Portland State University,26627,0,0,,11,7,,0,0,5,6,74,10,1
