Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,209807,Portland State University,1,Portland State University,20024,0,0,1,,,0,,,0,1,10,0,0
2002,209807,Portland State University,1,Portland State University,21672,0,0,1,,,1,,,1,0,13,0,0
2003,209807,Portland State University,1,Portland State University,23081,0,0,5,,,0,,,6,4,23,0,1
2004,209807,Portland State University,1,Portland State University,23444,0,0,2,,,0,,,1,1,10,0,0
2005,209807,Portland State University,1,Portland State University,23929,0,0,2,,,1,,,1,0,11,0,1
2006,209807,Portland State University,1,Portland State University,24254,0,0,2,,,0,,,0,6,10,0,0
2007,209807,Portland State University,1,Portland State University,24963,0,0,2,,,0,,,0,4,12,0,3
2008,209807,Portland State University,1,Portland State University,26382,0,0,1,,,0,,,1,2,8,1,2
2009,209807,Portland State University,1,Portland State University,27901,0,0,1,,,0,,,1,0,14,0,1
2010,209807,Portland State University,1,Portland State University,28035,0,0,4,,,0,,,0,1,9,0,3
2011,209807,Portland State University,1,Portland State University,28584,0,0,6,,,0,,,1,0,8,0,0
2012,209807,Portland State University,1,Portland State University,28287,0,0,4,,,0,,,0,0,12,0,0
2013,209807,Portland State University,1,Portland State University,28260,0,0,4,,,0,,,0,1,29,0,0
2014,209807,Portland State University,1,Portland State University,27696,0,0,,4,2,,0,2,0,1,18,0,0
2015,209807,Portland State University,1,Portland State University,27488,0,0,,6,2,,0,0,0,0,14,0,0
2016,209807,Portland State University,1,Portland State University,26627,0,0,,9,5,,0,0,0,1,21,0,0
