Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,209807,Portland State University,1,Portland State University,20024,0,0,0,,,0,,,0,7,2,16,2
2002,209807,Portland State University,1,Portland State University,21672,0,0,0,,,1,,,2,4,0,24,0
2003,209807,Portland State University,1,Portland State University,23081,0,0,1,,,0,,,5,2,8,15,0
2004,209807,Portland State University,1,Portland State University,23444,0,0,5,,,0,,,4,9,8,43,0
2005,209807,Portland State University,1,Portland State University,23929,0,0,2,,,0,,,5,7,15,45,0
2006,209807,Portland State University,1,Portland State University,24254,0,0,1,,,0,,,12,7,0,26,1
2007,209807,Portland State University,1,Portland State University,24963,0,0,1,,,0,,,3,3,0,34,0
2008,209807,Portland State University,1,Portland State University,26382,0,0,1,,,0,,,5,6,0,16,1
2009,209807,Portland State University,1,Portland State University,27901,0,0,0,,,0,,,6,2,0,11,2
2010,209807,Portland State University,1,Portland State University,28035,0,0,2,,,0,,,5,7,0,20,0
2011,209807,Portland State University,1,Portland State University,28584,0,0,1,,,0,,,1,2,0,16,0
2012,209807,Portland State University,1,Portland State University,28287,0,0,2,,,0,,,2,4,0,6,0
2013,209807,Portland State University,1,Portland State University,28260,0,0,0,,,0,,,0,3,0,8,0
2014,209807,Portland State University,1,Portland State University,27696,0,0,,1,0,,0,0,1,0,0,0,0
2015,209807,Portland State University,1,Portland State University,27488,0,0,,0,0,,0,0,0,0,0,0,0
2016,209807,Portland State University,1,Portland State University,26627,0,0,,1,1,,0,0,1,11,0,7,0
