Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,227766,Richland College,1,Main Campus,13313,0,0,0,,,0,,,0,0,0,0,0
2002,227766,Richland College,1,Main Campus,14266,0,0,0,,,0,,,0,0,0,0,0
2003,227766,Richland College,1,Main Campus,13887,0,0,0,,,0,,,0,0,0,0,0
2004,227766,Richland College,1,Main Campus,13922,0,0,0,,,0,,,0,0,0,0,0
2005,227766,Richland College,1,Main Campus,14399,0,0,0,,,0,,,0,0,0,0,0
2006,227766,Richland College,1,Main Campus,14555,0,0,0,,,0,,,0,0,0,0,0
2007,227766,Richland College,1,Main Campus,15311,0,0,0,,,0,,,0,0,0,0,0
2008,227766,Richland College,1,Main Campus,15917,0,0,0,,,0,,,0,0,0,0,0
2009,227766,Richland College,1,Main Campus,18201,0,0,0,,,0,,,0,0,0,0,0
2010,227766,Richland College,1,Main Campus,19201,0,0,0,,,0,,,0,0,0,0,0
2011,227766,Richland College,1,Main Campus,20000,0,0,0,,,0,,,0,0,0,0,0
2012,227766,Richland College,1,Main Campus,19552,0,0,0,,,0,,,0,0,0,0,0
2013,227766,Richland College,1,Main Campus,19287,0,0,0,,,0,,,1,0,0,0,0
2014,227766,Richland College,1,Main Campus,19343,0,0,,0,0,,0,0,0,0,0,0,0
2015,227766,Richland College,1,Main Campus,16687,0,0,,0,0,,0,0,0,0,0,0,0
2016,227766,Richland College,1,Main Campus,18106,0,0,,0,0,,0,0,0,0,0,0,0
