Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,122597,San Francisco State University,1,Main Campus,26866,0,0,0,,,0,,,0,0,0,0,0
2002,122597,San Francisco State University,1,Main Campus,28378,0,0,0,,,0,,,0,0,0,0,0
2003,122597,San Francisco State University,1,Main Campus,29686,0,0,0,,,0,,,0,0,0,0,0
2004,122597,San Francisco State University,1,Main Campus,28804,0,0,0,,,0,,,0,0,0,0,0
2005,122597,San Francisco State University,1,Main Campus,28950,0,0,0,,,0,,,0,0,0,0,0
2008,122597,San Francisco State University,1,Main Campus,30014,0,0,0,,,0,,,2,1,6,2,0
2009,122597,San Francisco State University,1,Main Campus,30469,0,0,0,,,0,,,1,0,0,2,0
2010,122597,San Francisco State University,1,Main Campus,29718,0,0,7,,,0,,,0,1,1,2,0
2012,122597,San Francisco State University,1,Main Campus,30500,0,0,0,,,0,,,0,0,0,0,0
2016,122597,San Francisco State University,1,Main Campus,29045,0,0,,0,0,,0,0,0,0,0,0,0
