Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,122597,San Francisco State University,1,Main Campus,26866,0,0,4,,,0,,,1,0,31,6,0
2002,122597,San Francisco State University,1,Main Campus,28378,0,0,5,,,0,,,3,3,44,7,0
2003,122597,San Francisco State University,1,Main Campus,29686,0,0,7,,,0,,,1,3,40,7,0
2004,122597,San Francisco State University,1,Main Campus,28804,0,0,1,,,0,,,1,3,51,15,2
2005,122597,San Francisco State University,1,Main Campus,28950,0,0,2,,,0,,,7,2,36,16,1
2006,122597,San Francisco State University,1,Main Campus,29628,0,0,2,,,0,,,9,2,75,27,2
2007,122597,San Francisco State University,1,Main Campus,30125,0,0,9,,,0,,,1,1,45,13,1
2008,122597,San Francisco State University,1,Main Campus,30014,0,0,3,,,0,,,6,0,42,17,4
2009,122597,San Francisco State University,1,Main Campus,30469,0,0,2,,,0,,,2,1,26,6,0
2010,122597,San Francisco State University,1,Main Campus,29718,0,0,3,,,0,,,3,0,43,10,0
2011,122597,San Francisco State University,1,Main Campus,29541,0,0,4,,,0,,,2,0,41,8,1
2012,122597,San Francisco State University,1,Main Campus,30500,0,0,0,,,0,,,1,0,42,6,4
2013,122597,San Francisco State University,1,Main Campus,29905,0,0,4,,,0,,,2,0,12,9,1
2014,122597,San Francisco State University,1,Main Campus,29465,0,0,,6,3,,0,0,0,0,21,0,0
2015,122597,San Francisco State University,1,Main Campus,30256,0,0,,9,2,,0,0,1,0,22,2,2
2016,122597,San Francisco State University,1,Main Campus,29045,0,0,,11,3,,0,0,2,1,31,6,3
