Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,122597,San Francisco State University,1,Main Campus,26866,0,0,1,,,0,,,1,0,5,1,0
2002,122597,San Francisco State University,1,Main Campus,28378,0,0,4,,,0,,,1,1,7,0,0
2003,122597,San Francisco State University,1,Main Campus,29686,0,0,4,,,0,,,1,1,7,0,0
2004,122597,San Francisco State University,1,Main Campus,28804,0,0,1,,,0,,,0,2,23,1,0
2005,122597,San Francisco State University,1,Main Campus,28950,0,0,2,,,0,,,6,1,19,6,1
2006,122597,San Francisco State University,1,Main Campus,29628,0,0,1,,,0,,,2,2,35,11,1
2007,122597,San Francisco State University,1,Main Campus,30125,0,0,6,,,0,,,1,0,21,8,1
2008,122597,San Francisco State University,1,Main Campus,30014,0,0,0,,,0,,,2,0,21,11,4
2009,122597,San Francisco State University,1,Main Campus,30469,0,0,0,,,0,,,1,1,12,0,0
2010,122597,San Francisco State University,1,Main Campus,29718,0,0,3,,,0,,,0,0,28,0,0
2011,122597,San Francisco State University,1,Main Campus,29541,0,0,3,,,0,,,0,0,31,2,1
2012,122597,San Francisco State University,1,Main Campus,30500,0,0,0,,,0,,,1,0,27,6,0
2013,122597,San Francisco State University,1,Main Campus,29905,0,0,4,,,0,,,0,0,3,1,0
2014,122597,San Francisco State University,1,Main Campus,29465,0,0,,5,0,,0,0,0,0,13,0,0
2015,122597,San Francisco State University,1,Main Campus,30256,0,0,,8,0,,0,0,0,0,10,0,1
2016,122597,San Francisco State University,1,Main Campus,29045,0,0,,9,1,,0,0,0,1,22,0,0
