Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,122597,San Francisco State University,1,Main Campus,26866,2,0,10,,,0,,,214,75,349,362,10
2002,122597,San Francisco State University,1,Main Campus,28378,0,0,0,,,0,,,30,6,45,107,0
2003,122597,San Francisco State University,1,Main Campus,29686,0,0,0,,,0,,,4,1,0,41,0
2004,122597,San Francisco State University,1,Main Campus,28804,0,0,0,,,0,,,2,3,2,14,0
2005,122597,San Francisco State University,1,Main Campus,28950,0,0,4,,,0,,,14,4,1,54,0
2006,122597,San Francisco State University,1,Main Campus,29628,0,0,0,,,0,,,9,0,0,7,0
2007,122597,San Francisco State University,1,Main Campus,30125,0,0,1,,,0,,,23,6,0,14,0
2008,122597,San Francisco State University,1,Main Campus,30014,0,0,0,,,0,,,6,0,0,6,0
2009,122597,San Francisco State University,1,Main Campus,30469,0,0,0,,,0,,,15,2,0,7,0
2010,122597,San Francisco State University,1,Main Campus,29718,0,0,0,,,0,,,2,3,0,11,0
2011,122597,San Francisco State University,1,Main Campus,29541,0,0,0,,,0,,,4,4,0,10,0
2012,122597,San Francisco State University,1,Main Campus,30500,0,0,0,,,0,,,2,0,0,10,0
2013,122597,San Francisco State University,1,Main Campus,29905,0,0,0,,,0,,,4,1,0,17,0
2014,122597,San Francisco State University,1,Main Campus,29465,0,0,,0,0,,0,0,1,0,0,12,0
2015,122597,San Francisco State University,1,Main Campus,30256,0,0,,0,0,,0,0,4,5,0,34,1
2016,122597,San Francisco State University,1,Main Campus,29045,0,0,,0,0,,0,0,4,4,0,18,0
