Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,196413,Syracuse University,1,Main Campus,18072,0,0,3,,,0,,,1,4,3,0,0
2002,196413,Syracuse University,1,Main Campus,18604,0,0,2,,,0,,,2,1,7,0,0
2003,196413,Syracuse University,1,Main Campus,18639,0,0,1,,,0,,,0,0,6,0,0
2004,196413,Syracuse University,1,Main Campus,18247,0,0,1,,,0,,,0,0,1,0,0
2005,196413,Syracuse University,1,Main Campus,18734,0,0,2,,,0,,,2,2,6,6,0
2006,196413,Syracuse University,1,Main Campus,19082,0,0,1,,,0,,,0,4,10,1,0
2007,196413,Syracuse University,1,Main Campus,19084,0,0,1,,,0,,,0,2,2,0,0
2008,196413,Syracuse University,1,Main Campus,19366,0,0,7,,,0,,,0,2,2,0,0
2009,196413,Syracuse University,1,Main Campus,19638,0,0,5,,,0,,,0,2,10,1,0
2010,196413,Syracuse University,1,Main Campus,20407,0,0,1,,,0,,,0,0,2,0,0
2011,196413,Syracuse University,1,Main Campus,20829,0,0,1,,,0,,,1,1,6,0,0
2012,196413,Syracuse University,1,Main Campus,21029,0,0,2,,,0,,,1,3,11,0,0
2013,196413,Syracuse University,1,Main Campus,21267,0,0,2,,,0,,,1,0,6,0,0
2014,196413,Syracuse University,1,Main Campus,21492,0,0,,0,0,,0,0,1,0,6,0,0
2015,196413,Syracuse University,1,Main Campus,21789,0,0,,2,2,,0,0,0,0,2,0,0
2016,196413,Syracuse University,1,Main Campus,21970,0,0,,2,0,,0,0,0,0,8,0,0
