Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,196413,Syracuse University,1,Main Campus,18072,0,0,23,,,0,,,3,3,74,7,4
2002,196413,Syracuse University,1,Main Campus,18604,0,0,11,,,0,,,2,1,65,6,0
2003,196413,Syracuse University,1,Main Campus,18639,0,0,12,,,0,,,1,2,68,4,2
2004,196413,Syracuse University,1,Main Campus,18247,0,0,9,,,0,,,1,1,93,3,0
2005,196413,Syracuse University,1,Main Campus,18734,0,0,19,,,0,,,7,10,85,1,1
2006,196413,Syracuse University,1,Main Campus,19082,0,0,8,,,0,,,1,9,117,0,3
2007,196413,Syracuse University,1,Main Campus,19084,0,0,15,,,0,,,2,2,77,2,2
2008,196413,Syracuse University,1,Main Campus,19366,0,0,15,,,0,,,1,1,55,1,1
2009,196413,Syracuse University,1,Main Campus,19638,0,0,11,,,0,,,5,1,45,0,2
2010,196413,Syracuse University,1,Main Campus,20407,0,0,9,,,0,,,0,2,46,0,0
2011,196413,Syracuse University,1,Main Campus,20829,0,0,12,,,0,,,0,4,36,0,1
2012,196413,Syracuse University,1,Main Campus,21029,0,0,6,,,0,,,3,2,28,0,2
2013,196413,Syracuse University,1,Main Campus,21267,0,0,7,,,0,,,1,1,22,1,0
2014,196413,Syracuse University,1,Main Campus,21492,0,0,,5,4,,0,0,1,0,40,4,0
2015,196413,Syracuse University,1,Main Campus,21789,0,0,,8,6,,0,0,1,0,33,3,2
2016,196413,Syracuse University,1,Main Campus,21970,0,0,,12,3,,0,0,0,2,40,3,2
