Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,196413,Syracuse University,1,Main Campus,18072,0,0,22,,,0,,,0,1,53,0,3
2002,196413,Syracuse University,1,Main Campus,18604,0,0,11,,,0,,,1,1,40,0,0
2003,196413,Syracuse University,1,Main Campus,18639,0,0,11,,,0,,,0,0,44,0,2
2004,196413,Syracuse University,1,Main Campus,18247,0,0,9,,,0,,,0,1,25,0,0
2005,196413,Syracuse University,1,Main Campus,18734,0,0,15,,,0,,,0,2,46,0,0
2006,196413,Syracuse University,1,Main Campus,19082,0,0,7,,,0,,,0,6,69,0,3
2007,196413,Syracuse University,1,Main Campus,19084,0,0,15,,,0,,,0,0,37,0,2
2008,196413,Syracuse University,1,Main Campus,19366,0,0,15,,,0,,,1,1,38,0,1
2009,196413,Syracuse University,1,Main Campus,19638,0,0,10,,,0,,,1,1,33,0,0
2010,196413,Syracuse University,1,Main Campus,20407,0,0,9,,,0,,,0,0,37,0,0
2011,196413,Syracuse University,1,Main Campus,20829,0,0,11,,,0,,,0,1,19,0,1
2012,196413,Syracuse University,1,Main Campus,21029,0,0,3,,,0,,,0,0,11,0,1
2013,196413,Syracuse University,1,Main Campus,21267,0,0,7,,,0,,,0,1,12,0,0
2014,196413,Syracuse University,1,Main Campus,21492,0,0,,5,4,,0,0,0,0,18,0,0
2015,196413,Syracuse University,1,Main Campus,21789,0,0,,6,3,,0,0,0,0,20,0,1
2016,196413,Syracuse University,1,Main Campus,21970,0,0,,12,1,,0,0,0,0,26,0,1
