Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,228723,Texas A & M University-College Station,1,Texas A&M University,44618,0,0,0,,,0,,,0,0,0,0,0
2002,228723,Texas A & M University-College Station,1,Texas A&M University,45083,0,0,0,,,0,,,0,0,0,0,0
2003,228723,Texas A & M University-College Station,1,Texas A&M University,44813,0,0,0,,,0,,,0,0,0,0,0
2004,228723,Texas A & M University-College Station,1,Texas A&M University,44435,0,0,0,,,0,,,0,0,0,0,0
2005,228723,Texas A & M University-College Station,1,Texas A&M University,44910,0,0,0,,,0,,,0,0,1,1,0
2006,228723,Texas A & M University-College Station,1,Texas A&M University,45380,0,0,0,,,0,,,0,0,0,1,0
2007,228723,Texas A & M University-College Station,1,Texas A&M University,46542,0,0,0,,,0,,,0,0,0,0,0
2008,228723,Texas A & M University-College Station,1,Texas A&M University,48039,0,0,0,,,0,,,0,0,0,0,0
2009,228723,Texas A & M University-College Station,1,Texas A&M University,48702,0,0,0,,,0,,,0,0,0,1,0
2010,228723,Texas A & M University-College Station,1,Texas A&M University,49129,0,0,0,,,0,,,0,0,0,0,0
2011,228723,Texas A & M University-College Station,1,Texas A&M University,50230,0,0,0,,,0,,,0,0,0,0,0
2012,228723,Texas A & M University-College Station,1,Texas A&M University,50627,0,0,0,,,0,,,0,2,0,0,0
2013,228723,Texas A & M University-College Station,1,Texas A&M University,55697,0,0,0,,,0,,,0,1,0,0,0
2014,228723,Texas A & M University-College Station,1,Texas A&M University,61642,0,0,,0,0,,0,0,0,0,0,0,0
2015,228723,Texas A & M University-College Station,1,Texas A&M University,63813,0,0,,0,0,,0,0,0,0,0,0,0
2016,228723,Texas A & M University-College Station,1,Texas A&M University,65632,0,0,,0,2,,0,0,1,3,0,0,0
