Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,228778,The University of Texas at Austin,1,The University of Texas at Austin,50616,0,0,4,,,0,,,0,0,0,0,0
2002,228778,The University of Texas at Austin,1,The University of Texas at Austin,52261,0,0,3,,,0,,,0,0,0,0,0
2003,228778,The University of Texas at Austin,1,The University of Texas at Austin,51426,0,0,1,,,0,,,0,4,12,8,0
2004,228778,The University of Texas at Austin,1,The University of Texas at Austin,50377,0,0,5,,,0,,,0,3,5,4,0
2005,228778,The University of Texas at Austin,1,The University of Texas at Austin,49696,0,0,8,,,0,,,0,1,9,8,0
2006,228778,The University of Texas at Austin,1,The University of Texas at Austin,49697,0,0,3,,,0,,,0,0,21,2,0
2007,228778,The University of Texas at Austin,1,The University of Texas at Austin,50170,0,0,2,,,0,,,2,10,19,3,4
2008,228778,The University of Texas at Austin,1,The University of Texas at Austin,49984,0,0,4,,,0,,,0,1,9,0,0
2009,228778,The University of Texas at Austin,1,The University of Texas at Austin,50995,0,0,3,,,0,,,0,2,20,8,0
2010,228778,The University of Texas at Austin,1,The University of Texas at Austin,51195,0,0,11,,,0,,,0,3,17,8,0
2011,228778,The University of Texas at Austin,1,The University of Texas at Austin,51112,0,0,8,,,0,,,2,10,21,8,1
2012,228778,The University of Texas at Austin,1,The University of Texas at Austin,52186,0,0,7,,,0,,,2,3,30,13,2
2013,228778,The University of Texas at Austin,1,The University of Texas at Austin,52059,0,0,11,,,0,,,0,3,12,6,0
2014,228778,The University of Texas at Austin,1,The University of Texas at Austin,51313,0,0,,27,0,,0,0,1,1,9,4,0
2015,228778,The University of Texas at Austin,1,The University of Texas at Austin,50950,0,0,,2,3,,0,0,0,0,8,0,0
2016,228778,The University of Texas at Austin,1,The University of Texas at Austin,51331,0,0,,1,0,,0,0,0,3,4,2,0
