Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,228778,The University of Texas at Austin,1,The University of Texas at Austin,50616,1,0,13,,,1,,,1,10,67,11,2
2002,228778,The University of Texas at Austin,1,The University of Texas at Austin,52261,0,0,16,,,0,,,3,6,68,7,8
2003,228778,The University of Texas at Austin,1,The University of Texas at Austin,51426,0,0,8,,,0,,,2,4,64,9,2
2004,228778,The University of Texas at Austin,1,The University of Texas at Austin,50377,0,0,9,,,0,,,0,5,70,4,2
2005,228778,The University of Texas at Austin,1,The University of Texas at Austin,49696,0,0,7,,,0,,,2,7,32,9,4
2006,228778,The University of Texas at Austin,1,The University of Texas at Austin,49697,0,0,4,,,0,,,2,6,48,4,5
2007,228778,The University of Texas at Austin,1,The University of Texas at Austin,50170,0,0,12,,,0,,,3,0,21,11,4
2008,228778,The University of Texas at Austin,1,The University of Texas at Austin,49984,0,0,1,,,0,,,6,2,37,10,2
2009,228778,The University of Texas at Austin,1,The University of Texas at Austin,50995,0,0,10,,,0,,,3,3,44,6,1
2010,228778,The University of Texas at Austin,1,The University of Texas at Austin,51195,0,0,12,,,0,,,1,4,36,4,1
2011,228778,The University of Texas at Austin,1,The University of Texas at Austin,51112,0,0,2,,,0,,,0,6,51,2,3
2012,228778,The University of Texas at Austin,1,The University of Texas at Austin,52186,0,0,9,,,0,,,2,2,36,9,2
2013,228778,The University of Texas at Austin,1,The University of Texas at Austin,52059,0,0,8,,,0,,,4,4,37,4,1
2014,228778,The University of Texas at Austin,1,The University of Texas at Austin,51313,0,0,,17,3,,0,0,0,1,34,6,2
2015,228778,The University of Texas at Austin,1,The University of Texas at Austin,50950,0,0,,10,3,,0,0,3,2,18,8,0
2016,228778,The University of Texas at Austin,1,The University of Texas at Austin,51331,1,0,,16,2,,0,1,4,8,11,1,0
