Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,145637,University of Illinois at Urbana-Champaign,1,Main Campus,39291,0,0,14,,,0,,,5,30,54,6,1
2002,145637,University of Illinois at Urbana-Champaign,1,Main Campus,39999,0,0,9,,,0,,,9,37,83,3,2
2003,145637,University of Illinois at Urbana-Champaign,1,Main Campus,40458,0,0,12,,,0,,,5,19,67,2,1
2004,145637,University of Illinois at Urbana-Champaign,1,Main Campus,40687,0,0,10,,,0,,,8,29,69,4,2
2005,145637,University of Illinois at Urbana-Champaign,1,Main Campus,41938,0,0,8,,,0,,,7,6,118,7,3
2006,145637,University of Illinois at Urbana-Champaign,1,Main Campus,42738,0,0,6,,,0,,,4,8,103,10,0
2007,145637,University of Illinois at Urbana-Champaign,1,Main Campus,42326,0,0,9,,,0,,,9,11,83,6,0
2008,145637,University of Illinois at Urbana-Champaign,1,Main Campus,43246,0,0,7,,,0,,,7,2,70,11,0
2009,145637,University of Illinois at Urbana-Champaign,1,Main Campus,43881,0,0,5,,,0,,,8,5,81,5,0
2010,145637,University of Illinois at Urbana-Champaign,1,Main Campus,43862,0,0,7,,,0,,,9,4,63,4,0
2011,145637,University of Illinois at Urbana-Champaign,1,Main Campus,44407,0,0,5,,,0,,,4,4,30,5,4
2012,145637,University of Illinois at Urbana-Champaign,1,Main Campus,44520,0,0,10,,,0,,,4,6,15,2,1
2013,145637,University of Illinois at Urbana-Champaign,1,Main Campus,44942,0,0,12,,,0,,,10,10,8,1,1
2014,145637,University of Illinois at Urbana-Champaign,1,Main Campus,45140,0,0,,9,2,,0,0,6,14,7,0,4
2015,145637,University of Illinois at Urbana-Champaign,1,Main Campus,45842,0,0,,8,0,,0,0,3,4,6,4,2
2016,145637,University of Illinois at Urbana-Champaign,1,Main Campus,46951,1,0,,17,4,,0,0,3,3,32,4,3
