Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,243601,Universidad Del Turabo,1,Main Campus,9335,0,0,0,,,0,,,7,1,30,0,0
2001,243601,Universidad Del Turabo,2,Yabucoa Campus,9335,1,0,0,,,0,,,1,2,17,4,0
2001,243601,Universidad Del Turabo,3,Cayey Campus,9335,1,0,0,,,0,,,0,2,15,4,0
2001,243601,Universidad Del Turabo,4,Naguabo Campus,9335,0,0,0,,,0,,,1,0,0,0,0
2002,243601,Universidad Del Turabo,1,Main Campus,10653,0,0,0,,,0,,,19,5,52,9,0
2002,243601,Universidad Del Turabo,2,Yabucoa Campus,10653,0,0,0,,,0,,,1,11,12,0,0
2002,243601,Universidad Del Turabo,3,Cayey Campus,10653,0,0,0,,,0,,,1,2,7,3,0
2002,243601,Universidad Del Turabo,4,Naguabo Campus,10653,0,0,0,,,0,,,0,0,1,1,0
2002,243601,Universidad Del Turabo,5,Isabela Campus,10653,0,0,0,,,0,,,2,1,7,0,0
2003,243601,Universidad Del Turabo,1,Main Campus,12418,0,0,2,,,0,,,3,2,1,1,0
2003,243601,Universidad Del Turabo,2,Yabucoa Campus,12418,1,0,0,,,0,,,7,4,17,0,0
2003,243601,Universidad Del Turabo,3,Cayey Campus,12418,0,0,0,,,0,,,6,1,11,1,0
2003,243601,Universidad Del Turabo,4,Naguabo Campus,12418,1,0,0,,,0,,,0,0,2,0,0
2003,243601,Universidad Del Turabo,5,Isabela Campus,12418,2,0,0,,,0,,,2,3,18,2,0
2004,243601,Universidad Del Turabo,1,Main Campus,13692,0,2,0,,,0,,,27,6,64,10,0
2004,243601,Universidad Del Turabo,2,Yabucoa Campus,13692,0,3,0,,,0,,,10,5,13,0,0
2004,243601,Universidad Del Turabo,3,Cayey Campus,13692,0,1,0,,,0,,,0,2,2,2,0
2004,243601,Universidad Del Turabo,4,Naguabo Campus,13692,0,0,1,,,0,,,7,1,27,2,0
2004,243601,Universidad Del Turabo,5,Isabela Campus,13692,0,0,0,,,0,,,5,2,8,1,0
2005,243601,Universidad Del Turabo,1,Main Campus,14769,0,7,0,,,0,,,53,17,123,33,0
2005,243601,Universidad Del Turabo,2,Yabucoa Campus,14769,0,3,0,,,0,,,38,76,240,31,0
2005,243601,Universidad Del Turabo,3,Cayey Campus,14769,0,7,0,,,0,,,49,33,213,129,0
2005,243601,Universidad Del Turabo,4,Naguabo Campus,14769,0,7,0,,,0,,,19,22,95,22,0
2005,243601,Universidad Del Turabo,5,Isabela Campus,14769,0,0,0,,,0,,,22,27,167,32,0
2006,243601,Universidad Del Turabo,1,Main Campus,15339,0,0,0,,,0,,,0,0,0,0,0
2006,243601,Universidad Del Turabo,2,Yabucoa Campus,15339,0,0,0,,,0,,,0,0,0,0,0
2006,243601,Universidad Del Turabo,3,Cayey Campus,15339,0,0,0,,,0,,,0,0,0,0,0
2006,243601,Universidad Del Turabo,4,Naguabo Campus,15339,0,0,0,,,0,,,0,0,0,0,0
2006,243601,Universidad Del Turabo,5,Isabela Campus,15339,0,0,0,,,0,,,0,0,0,0,0
2006,243601,Universidad Del Turabo,6,Ponce Campus,15339,0,0,0,,,0,,,0,0,0,0,0
2006,243601,Universidad Del Turabo,7,Barceloneta Campus,15339,0,0,0,,,0,,,0,0,0,0,0
2007,243601,Universidad Del Turabo,1,Main Campus,15882,0,0,0,,,0,,,0,0,0,0,0
2007,243601,Universidad Del Turabo,2,Yabucoa Campus,15882,0,0,0,,,0,,,0,0,0,0,0
2007,243601,Universidad Del Turabo,3,Cayey Campus,15882,0,0,0,,,0,,,0,0,0,0,0
2007,243601,Universidad Del Turabo,4,Naguabo Campus,15882,0,0,0,,,0,,,0,0,0,0,0
2007,243601,Universidad Del Turabo,5,Isabela Campus,15882,0,0,0,,,0,,,0,0,0,0,0
2007,243601,Universidad Del Turabo,6,Ponce Campus,15882,0,0,0,,,0,,,0,0,0,0,0
2007,243601,Universidad Del Turabo,7,Barceloneta Campus,15882,0,0,0,,,0,,,0,0,0,0,0
2008,243601,Universidad Del Turabo,1,Main Campus,16296,0,0,0,,,0,,,0,0,0,0,0
2008,243601,Universidad Del Turabo,2,Yabucoa Campus,16296,0,0,0,,,0,,,0,0,0,0,0
2008,243601,Universidad Del Turabo,3,Cayey Campus,16296,0,0,0,,,0,,,0,0,0,0,0
2008,243601,Universidad Del Turabo,4,Naguabo Campus,16296,0,0,0,,,0,,,0,0,0,0,0
2008,243601,Universidad Del Turabo,5,Isabela Campus,16296,0,0,0,,,0,,,0,0,0,0,0
2008,243601,Universidad Del Turabo,6,Ponce Campus,16296,0,0,0,,,0,,,0,0,0,0,0
2008,243601,Universidad Del Turabo,7,Barceloneta Campus,16296,0,0,0,,,0,,,0,0,0,0,0
2009,243601,Universidad Del Turabo,1,Main Campus,16190,0,0,0,,,0,,,0,0,0,0,0
2009,243601,Universidad Del Turabo,2,Yabucoa Campus,16190,0,0,0,,,0,,,0,0,0,0,0
2009,243601,Universidad Del Turabo,3,Cayey Campus,16190,0,0,0,,,0,,,0,0,0,0,0
2009,243601,Universidad Del Turabo,4,Naguabo Campus,16190,0,0,0,,,0,,,0,0,0,0,0
2009,243601,Universidad Del Turabo,5,Isabela Campus,16190,0,0,0,,,0,,,0,0,0,0,0
2009,243601,Universidad Del Turabo,6,Ponce Campus,16190,0,0,0,,,0,,,0,0,0,0,0
2009,243601,Universidad Del Turabo,7,Barceloneta Campus,16190,0,0,0,,,0,,,0,0,0,0,0
2010,243601,Universidad Del Turabo,1,Main Campus,16036,0,0,0,,,0,,,0,0,0,0,0
2010,243601,Universidad Del Turabo,2,Yabucoa Campus,16036,0,0,0,,,0,,,0,0,0,0,0
2010,243601,Universidad Del Turabo,3,Cayey Campus,16036,0,0,0,,,0,,,0,0,0,0,0
2010,243601,Universidad Del Turabo,4,Naguabo Campus,16036,0,0,0,,,0,,,0,0,0,0,0
2010,243601,Universidad Del Turabo,5,Isabela Campus,16036,0,0,0,,,0,,,0,0,0,0,0
