Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2014,243601,Universidad Del Turabo,1,Main Campus,17325,0,0,0
2014,243601,Universidad Del Turabo,2,Yabucoa Campus,17325,0,0,0
2014,243601,Universidad Del Turabo,3,Cayey Campus,17325,0,0,0
2014,243601,Universidad Del Turabo,4,Naguabo Campus,17325,0,0,0
2014,243601,Universidad Del Turabo,5,Isabela Campus,17325,0,0,0
2014,243601,Universidad Del Turabo,6,Ponce Campus,17325,0,0,0
2014,243601,Universidad Del Turabo,7,Barceloneta Campus,17325,0,0,0
2014,243601,Universidad Del Turabo,8,Metro Orlando,17325,0,0,0
2014,243601,Universidad Del Turabo,9,University Center Tampa Bay- FL,17325,0,0,0
2014,243601,Universidad Del Turabo,10,University Center South Florida,17325,0,0,0
2014,243601,Universidad Del Turabo,11,Capital Area Campus,17325,0,0,0
2015,243601,Universidad Del Turabo,1,Main Campus,17509,0,0,0
2015,243601,Universidad Del Turabo,2,Yabucoa Campus,17509,0,0,0
2015,243601,Universidad Del Turabo,3,Cayey Campus,17509,0,0,0
2015,243601,Universidad Del Turabo,5,Isabela Campus,17509,0,0,0
2015,243601,Universidad Del Turabo,6,Ponce Campus,17509,0,0,0
2015,243601,Universidad Del Turabo,7,Barceloneta Campus,17509,0,0,0
2015,243601,Universidad Del Turabo,8,Metro Orlando,17509,0,0,0
2015,243601,Universidad Del Turabo,9,University Center Tampa Bay- FL,17509,0,0,0
2015,243601,Universidad Del Turabo,10,University Center South Florida,17509,0,0,0
2015,243601,Universidad Del Turabo,11,Capital Area Campus,17509,0,0,0
2015,243601,Universidad Del Turabo,12,Dallas,17509,0,0,0
2016,243601,Universidad Del Turabo,1,Main Campus,17167,0,0,0
2016,243601,Universidad Del Turabo,2,Yabucoa Campus,17167,0,0,0
2016,243601,Universidad Del Turabo,3,Cayey Campus,17167,0,0,0
2016,243601,Universidad Del Turabo,5,Isabela Campus,17167,0,0,0
2016,243601,Universidad Del Turabo,6,Ponce Campus,17167,0,0,0
2016,243601,Universidad Del Turabo,7,Barceloneta Campus,17167,0,0,0
2016,243601,Universidad Del Turabo,8,Metro Orlando,17167,0,0,0
2016,243601,Universidad Del Turabo,9,University Center Tampa Bay- FL,17167,0,0,0
2016,243601,Universidad Del Turabo,10,University Center South Florida,17167,0,0,0
2016,243601,Universidad Del Turabo,11,Capital Area Campus,17167,0,0,0
2016,243601,Universidad Del Turabo,12,Dallas,17167,0,0,0
