Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,104179,University of Arizona,1,Main Campus,35747,0,0,6,,,25,,,10,20,98,65,6
2002,104179,University of Arizona,1,Main Campus,36847,3,0,4,,,0,,,0,2,69,0,2
2003,104179,University of Arizona,1,Main Campus,37083,0,0,9,,,0,,,1,4,63,0,4
2004,104179,University of Arizona,1,Main Campus,36932,0,0,7,,,0,,,1,13,73,0,2
2005,104179,University of Arizona,1,Main Campus,37036,0,0,4,,,0,,,0,1,101,0,1
2006,104179,University of Arizona,1,Main Campus,36805,0,0,2,,,0,,,0,7,34,0,1
2007,104179,University of Arizona,1,Main Campus,37217,1,0,8,,,0,,,0,1,43,0,0
2008,104179,University of Arizona,1,Main Campus,38057,0,0,1,,,0,,,0,6,38,0,0
2009,104179,University of Arizona,1,Main Campus,38767,0,0,5,,,0,,,3,1,26,21,0
2010,104179,University of Arizona,1,Main Campus,39086,0,0,1,,,0,,,1,3,30,25,2
2011,104179,University of Arizona,1,Main Campus,39236,1,0,3,,,0,,,0,0,43,6,2
2012,104179,University of Arizona,1,Main Campus,40223,0,0,13,,,0,,,1,5,48,27,3
2013,104179,University of Arizona,1,Main Campus,40621,0,0,9,,,0,,,1,5,22,10,0
2014,104179,University of Arizona,1,Main Campus,42236,0,0,,11,9,,0,0,0,3,25,7,0
2015,104179,University of Arizona,1,Main Campus,42595,0,0,,10,1,,0,0,1,2,20,15,1
2016,104179,University of Arizona,1,Main Campus,43161,0,0,,13,3,,0,0,0,5,28,14,0
