Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,104179,University of Arizona,1,Main Campus,35747,0,0,3,,,2,,,0,4,23,2,0
2002,104179,University of Arizona,1,Main Campus,36847,0,0,4,,,0,,,0,0,14,0,2
2003,104179,University of Arizona,1,Main Campus,37083,0,0,7,,,0,,,0,2,18,0,0
2004,104179,University of Arizona,1,Main Campus,36932,0,0,4,,,0,,,1,6,21,0,0
2005,104179,University of Arizona,1,Main Campus,37036,0,0,1,,,0,,,0,1,33,0,1
2006,104179,University of Arizona,1,Main Campus,36805,0,0,2,,,0,,,0,3,12,0,1
2007,104179,University of Arizona,1,Main Campus,37217,1,0,2,,,0,,,0,1,20,0,0
2008,104179,University of Arizona,1,Main Campus,38057,0,0,1,,,0,,,0,0,12,0,0
2009,104179,University of Arizona,1,Main Campus,38767,0,0,4,,,0,,,0,1,1,0,0
2010,104179,University of Arizona,1,Main Campus,39086,0,0,0,,,0,,,0,2,7,0,2
2011,104179,University of Arizona,1,Main Campus,39236,0,0,3,,,0,,,0,0,15,0,1
2012,104179,University of Arizona,1,Main Campus,40223,0,0,11,,,0,,,0,0,14,0,3
2013,104179,University of Arizona,1,Main Campus,40621,0,0,9,,,0,,,0,2,8,0,0
2014,104179,University of Arizona,1,Main Campus,42236,0,0,,11,7,,0,0,0,0,7,0,0
2015,104179,University of Arizona,1,Main Campus,42595,0,0,,9,1,,0,0,0,0,5,0,1
2016,104179,University of Arizona,1,Main Campus,43161,0,0,,8,0,,0,0,0,2,16,0,0
