Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,104179,University of Arizona,1,Main Campus,35747,0,0,2,,,6,,,8,7,1,55,2
2002,104179,University of Arizona,1,Main Campus,36847,0,0,3,,,0,,,3,6,8,48,3
2003,104179,University of Arizona,1,Main Campus,37083,0,0,0,,,0,,,3,4,1,46,0
2004,104179,University of Arizona,1,Main Campus,36932,0,0,2,,,0,,,3,6,6,63,1
2005,104179,University of Arizona,1,Main Campus,37036,0,0,0,,,0,,,4,5,0,106,0
2006,104179,University of Arizona,1,Main Campus,36805,0,0,1,,,0,,,9,6,0,69,4
2007,104179,University of Arizona,1,Main Campus,37217,0,0,0,,,0,,,3,9,0,77,1
2008,104179,University of Arizona,1,Main Campus,38057,0,0,0,,,0,,,5,4,0,48,0
2009,104179,University of Arizona,1,Main Campus,38767,0,0,0,,,0,,,3,7,0,2,0
2010,104179,University of Arizona,1,Main Campus,39086,0,0,1,,,0,,,0,2,0,2,1
2011,104179,University of Arizona,1,Main Campus,39236,0,0,0,,,0,,,1,2,0,2,0
2012,104179,University of Arizona,1,Main Campus,40223,0,0,0,,,0,,,1,3,0,0,0
2013,104179,University of Arizona,1,Main Campus,40621,0,0,0,,,0,,,4,4,0,2,1
2014,104179,University of Arizona,1,Main Campus,42236,0,0,,2,0,,0,0,2,6,0,0,0
2015,104179,University of Arizona,1,Main Campus,42595,0,0,,2,0,,0,0,3,9,0,1,0
2016,104179,University of Arizona,1,Main Campus,43161,0,0,,0,3,,0,0,3,1,0,3,0
