Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,110635,University of California-Berkeley,1,Main Campus,32128,0,0,2,,,0,,,0,8,44,13,2
2002,110635,University of California-Berkeley,1,Main Campus,33145,0,0,1,,,0,,,2,5,81,12,0
2003,110635,University of California-Berkeley,1,Main Campus,33065,0,0,4,,,0,,,6,7,78,18,1
2004,110635,University of California-Berkeley,1,Main Campus,32803,0,0,9,,,0,,,0,0,65,10,0
2005,110635,University of California-Berkeley,1,Main Campus,33547,0,0,5,,,0,,,0,4,32,4,1
2006,110635,University of California-Berkeley,1,Main Campus,33920,0,0,7,,,0,,,5,6,48,11,0
2007,110635,University of California-Berkeley,1,Main Campus,34940,0,0,5,,,0,,,3,1,34,4,1
2008,110635,University of California-Berkeley,1,Main Campus,35396,0,0,5,,,0,,,1,1,41,15,1
2009,110635,University of California-Berkeley,1,Main Campus,35830,0,0,21,,,0,,,3,3,42,5,0
2010,110635,University of California-Berkeley,1,Main Campus,35833,0,0,10,,,0,,,0,3,46,7,0
2011,110635,University of California-Berkeley,1,Main Campus,36137,0,0,9,,,0,,,2,3,25,11,1
2012,110635,University of California-Berkeley,1,Main Campus,35893,0,0,7,,,0,,,1,2,27,6,2
2013,110635,University of California-Berkeley,1,Main Campus,36198,0,0,17,,,0,,,2,1,33,4,2
2014,110635,University of California-Berkeley,1,Main Campus,37565,0,0,,14,2,,0,0,2,3,11,20,1
2015,110635,University of California-Berkeley,1,Main Campus,38189,0,0,,13,6,,0,0,2,3,15,6,1
2016,110635,University of California-Berkeley,1,Main Campus,40154,0,0,,8,3,,0,1,1,2,20,17,1
