Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,110635,University of California-Berkeley,1,Main Campus,32128,0,0,1,,,0,,,2,1,5,4,0
2002,110635,University of California-Berkeley,1,Main Campus,33145,0,0,2,,,0,,,0,3,20,0,1
2003,110635,University of California-Berkeley,1,Main Campus,33065,0,0,9,,,0,,,1,2,20,0,0
2004,110635,University of California-Berkeley,1,Main Campus,32803,0,0,17,,,0,,,1,2,12,0,4
2005,110635,University of California-Berkeley,1,Main Campus,33547,0,0,2,,,0,,,0,1,32,0,0
2006,110635,University of California-Berkeley,1,Main Campus,33920,0,0,1,,,0,,,3,1,29,2,0
2007,110635,University of California-Berkeley,1,Main Campus,34940,0,0,1,,,0,,,2,0,19,0,3
2008,110635,University of California-Berkeley,1,Main Campus,35396,0,0,7,,,0,,,2,1,12,0,1
2009,110635,University of California-Berkeley,1,Main Campus,35830,0,0,1,,,0,,,1,1,7,0,0
2010,110635,University of California-Berkeley,1,Main Campus,35833,0,0,3,,,0,,,3,0,5,2,2
2011,110635,University of California-Berkeley,1,Main Campus,36137,0,0,9,,,0,,,2,1,6,0,0
2012,110635,University of California-Berkeley,1,Main Campus,35893,0,0,8,,,0,,,1,0,9,0,0
2013,110635,University of California-Berkeley,1,Main Campus,36198,0,0,9,,,0,,,1,2,8,0,1
2014,110635,University of California-Berkeley,1,Main Campus,37565,0,0,,13,3,,0,0,2,0,15,0,2
2015,110635,University of California-Berkeley,1,Main Campus,38189,0,0,,10,9,,0,0,0,1,10,0,0
2016,110635,University of California-Berkeley,1,Main Campus,40154,0,0,,21,4,,0,0,2,2,5,0,2
