Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,110635,University of California-Berkeley,1,Main Campus,32128,0,0,3,,,0,,,63,30,147,156,6
2002,110635,University of California-Berkeley,1,Main Campus,33145,1,0,8,,,0,,,85,31,199,253,3
2003,110635,University of California-Berkeley,1,Main Campus,33065,1,0,4,,,1,,,55,24,0,190,3
2004,110635,University of California-Berkeley,1,Main Campus,32803,0,0,0,,,0,,,17,6,0,45,1
2005,110635,University of California-Berkeley,1,Main Campus,33547,1,0,1,,,0,,,21,6,0,65,0
2006,110635,University of California-Berkeley,1,Main Campus,33920,0,0,0,,,0,,,20,6,0,54,1
2007,110635,University of California-Berkeley,1,Main Campus,34940,0,0,2,,,0,,,19,5,0,26,1
2008,110635,University of California-Berkeley,1,Main Campus,35396,0,0,1,,,0,,,15,2,0,25,2
2009,110635,University of California-Berkeley,1,Main Campus,35830,0,0,3,,,0,,,31,11,0,32,0
2010,110635,University of California-Berkeley,1,Main Campus,35833,0,0,0,,,0,,,30,7,0,16,0
2011,110635,University of California-Berkeley,1,Main Campus,36137,0,0,5,,,0,,,26,4,0,30,1
2012,110635,University of California-Berkeley,1,Main Campus,35893,0,0,3,,,0,,,32,4,0,26,0
2013,110635,University of California-Berkeley,1,Main Campus,36198,0,0,3,,,0,,,40,5,0,26,1
2014,110635,University of California-Berkeley,1,Main Campus,37565,0,0,,0,7,,0,0,20,6,0,15,0
2015,110635,University of California-Berkeley,1,Main Campus,38189,0,0,,1,1,,0,0,27,6,0,14,1
2016,110635,University of California-Berkeley,1,Main Campus,40154,0,0,,1,1,,0,0,25,14,0,19,2
