Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,110662,University of California-Los Angeles,1,UCLA,37494,0,0,8,,,0,,,3,8,48,20,2
2002,110662,University of California-Los Angeles,1,UCLA,37599,0,0,2,,,0,,,1,3,55,14,0
2003,110662,University of California-Los Angeles,1,UCLA,37055,0,0,3,,,0,,,0,3,73,10,0
2004,110662,University of California-Los Angeles,1,UCLA,35966,0,0,7,,,0,,,3,16,83,12,1
2005,110662,University of California-Los Angeles,1,UCLA,35625,0,0,6,,,0,,,2,1,47,3,0
2006,110662,University of California-Los Angeles,1,UCLA,36611,0,0,7,,,0,,,1,14,48,11,0
2007,110662,University of California-Los Angeles,1,UCLA,37476,0,0,9,,,0,,,5,15,33,3,0
2008,110662,University of California-Los Angeles,1,UCLA,38220,0,0,5,,,1,,,3,16,39,7,1
2009,110662,University of California-Los Angeles,1,UCLA,38550,0,0,6,,,0,,,3,13,54,6,1
2010,110662,University of California-Los Angeles,1,UCLA,38157,0,0,10,,,0,,,5,5,37,6,0
2011,110662,University of California-Los Angeles,1,UCLA,39271,0,0,15,,,0,,,1,4,53,4,0
2012,110662,University of California-Los Angeles,1,UCLA,39945,0,0,6,,,0,,,1,6,30,6,0
2013,110662,University of California-Los Angeles,1,UCLA,40795,0,0,2,,,0,,,0,2,23,4,0
2014,110662,University of California-Los Angeles,1,UCLA,41845,0,0,,8,5,,0,0,2,3,28,12,0
2015,110662,University of California-Los Angeles,1,UCLA,41908,0,0,,9,6,,0,0,6,2,37,1,0
2016,110662,University of California-Los Angeles,1,UCLA,43548,0,0,,16,2,,0,0,2,12,28,1,0
