Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,110662,University of California-Los Angeles,1,UCLA,37494,0,0,4,,,0,,,0,0,16,0,0
2002,110662,University of California-Los Angeles,1,UCLA,37599,0,0,8,,,0,,,1,5,32,0,0
2003,110662,University of California-Los Angeles,1,UCLA,37055,0,0,8,,,0,,,1,1,40,0,0
2004,110662,University of California-Los Angeles,1,UCLA,35966,0,0,3,,,0,,,0,0,30,0,0
2005,110662,University of California-Los Angeles,1,UCLA,35625,0,0,0,,,0,,,0,0,38,0,0
2006,110662,University of California-Los Angeles,1,UCLA,36611,0,0,4,,,0,,,0,0,21,0,0
2007,110662,University of California-Los Angeles,1,UCLA,37476,0,0,5,,,0,,,0,0,43,0,0
2008,110662,University of California-Los Angeles,1,UCLA,38220,0,0,18,,,0,,,1,0,23,2,0
2009,110662,University of California-Los Angeles,1,UCLA,38550,0,0,2,,,0,,,1,4,28,0,0
2010,110662,University of California-Los Angeles,1,UCLA,38157,0,0,4,,,1,,,0,0,24,1,0
2011,110662,University of California-Los Angeles,1,UCLA,39271,0,0,6,,,0,,,0,0,22,0,0
2012,110662,University of California-Los Angeles,1,UCLA,39945,0,0,6,,,0,,,2,8,18,0,0
2013,110662,University of California-Los Angeles,1,UCLA,40795,0,0,12,,,0,,,0,1,16,0,1
2014,110662,University of California-Los Angeles,1,UCLA,41845,0,0,,14,6,,0,0,1,0,19,1,0
2015,110662,University of California-Los Angeles,1,UCLA,41908,0,0,,4,3,,0,2,1,0,10,0,0
2016,110662,University of California-Los Angeles,1,UCLA,43548,0,0,,13,6,,0,0,1,6,13,1,3
