Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,126614,University of Colorado Boulder,1,Main Campus,30063,0,0,0,,,0,,,0,0,0,0,0
2002,126614,University of Colorado Boulder,1,Main Campus,31415,0,0,0,,,0,,,0,1,16,2,1
2003,126614,University of Colorado Boulder,1,Main Campus,32423,0,0,0,,,0,,,0,2,7,2,0
2004,126614,University of Colorado Boulder,1,Main Campus,32362,0,0,0,,,0,,,0,1,4,1,0
2005,126614,University of Colorado Boulder,1,Main Campus,31589,0,0,1,,,0,,,0,1,11,1,0
2006,126614,University of Colorado Boulder,1,Main Campus,31665,0,0,0,,,0,,,0,1,11,0,1
2007,126614,University of Colorado Boulder,1,Main Campus,31796,0,0,3,,,0,,,0,1,30,0,0
2008,126614,University of Colorado Boulder,1,Main Campus,32469,0,0,0,,,0,,,1,0,28,1,2
2009,126614,University of Colorado Boulder,1,Main Campus,33010,0,0,3,,,0,,,2,6,55,1,2
2010,126614,University of Colorado Boulder,1,Main Campus,32697,0,0,0,,,0,,,0,2,8,0,0
2011,126614,University of Colorado Boulder,1,Main Campus,32558,0,0,2,,,0,,,0,1,6,1,0
2012,126614,University of Colorado Boulder,1,Main Campus,31945,0,0,0,,,0,,,1,0,1,0,0
2013,126614,University of Colorado Boulder,1,Main Campus,32017,0,0,3,,,0,,,0,0,7,2,0
2014,126614,University of Colorado Boulder,1,Main Campus,32432,0,0,,5,0,,0,0,0,0,5,0,1
2015,126614,University of Colorado Boulder,1,Main Campus,33056,0,0,,0,0,,0,0,0,0,3,0,0
2016,126614,University of Colorado Boulder,1,Main Campus,33977,0,0,,0,0,,0,0,0,0,0,0,0
