Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,126614,University of Colorado Boulder,1,Main Campus,30063,0,0,10,,,0,,,1,6,142,17,25
2002,126614,University of Colorado Boulder,1,Main Campus,31415,0,0,7,,,0,,,3,8,130,22,14
2003,126614,University of Colorado Boulder,1,Main Campus,32423,0,0,22,,,0,,,3,9,113,13,12
2004,126614,University of Colorado Boulder,1,Main Campus,32362,0,0,12,,,0,,,2,7,133,14,13
2005,126614,University of Colorado Boulder,1,Main Campus,31589,0,0,12,,,1,,,4,11,99,24,20
2006,126614,University of Colorado Boulder,1,Main Campus,31665,0,0,10,,,0,,,3,16,103,13,21
2007,126614,University of Colorado Boulder,1,Main Campus,31796,0,0,8,,,0,,,2,7,54,5,7
2008,126614,University of Colorado Boulder,1,Main Campus,32469,0,0,7,,,0,,,3,7,59,4,7
2009,126614,University of Colorado Boulder,1,Main Campus,33010,0,0,9,,,0,,,2,5,60,1,2
2010,126614,University of Colorado Boulder,1,Main Campus,32697,0,0,4,,,0,,,2,2,27,5,4
2011,126614,University of Colorado Boulder,1,Main Campus,32558,0,0,7,,,0,,,5,8,42,10,1
2012,126614,University of Colorado Boulder,1,Main Campus,31945,0,0,7,,,0,,,1,11,31,7,1
2013,126614,University of Colorado Boulder,1,Main Campus,32017,0,0,10,,,0,,,0,2,26,3,1
2014,126614,University of Colorado Boulder,1,Main Campus,32432,0,0,,10,0,,0,0,3,2,22,4,2
2015,126614,University of Colorado Boulder,1,Main Campus,33056,0,0,,16,10,,0,0,1,4,19,10,4
2016,126614,University of Colorado Boulder,1,Main Campus,33977,0,0,,14,12,,0,0,1,8,33,16,4
