Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,126614,University of Colorado Boulder,1,Main Campus,30063,0,0,6,,,0,,,0,4,53,10,15
2002,126614,University of Colorado Boulder,1,Main Campus,31415,0,0,4,,,0,,,2,5,42,0,10
2003,126614,University of Colorado Boulder,1,Main Campus,32423,0,0,11,,,0,,,1,5,41,4,4
2004,126614,University of Colorado Boulder,1,Main Campus,32362,0,0,8,,,0,,,1,2,52,1,5
2005,126614,University of Colorado Boulder,1,Main Campus,31589,0,0,5,,,1,,,2,8,29,1,1
2006,126614,University of Colorado Boulder,1,Main Campus,31665,0,0,5,,,0,,,1,5,42,0,6
2007,126614,University of Colorado Boulder,1,Main Campus,31796,0,0,5,,,0,,,0,5,24,0,0
2008,126614,University of Colorado Boulder,1,Main Campus,32469,0,0,6,,,0,,,1,4,31,0,5
2009,126614,University of Colorado Boulder,1,Main Campus,33010,0,0,6,,,0,,,0,3,14,0,1
2010,126614,University of Colorado Boulder,1,Main Campus,32697,0,0,2,,,0,,,0,1,15,0,1
2011,126614,University of Colorado Boulder,1,Main Campus,32558,0,0,6,,,0,,,0,4,12,0,1
2012,126614,University of Colorado Boulder,1,Main Campus,31945,0,0,7,,,0,,,0,0,15,0,0
2013,126614,University of Colorado Boulder,1,Main Campus,32017,0,0,5,,,0,,,0,0,13,0,1
2014,126614,University of Colorado Boulder,1,Main Campus,32432,0,0,,9,0,,0,0,0,1,13,0,0
2015,126614,University of Colorado Boulder,1,Main Campus,33056,0,0,,11,8,,0,0,0,3,7,0,1
2016,126614,University of Colorado Boulder,1,Main Campus,33977,0,0,,10,3,,0,0,0,1,9,0,2
