Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,130943,University of Delaware,1,Main Campus,20949,0,0,0,,,0,,,0,0,4,0,0
2002,130943,University of Delaware,1,Main Campus,21289,0,0,1,,,0,,,0,0,1,1,0
2003,130943,University of Delaware,1,Main Campus,21121,0,0,0,,,0,,,0,1,3,0,0
2004,130943,University of Delaware,1,Main Campus,21238,0,0,0,,,0,,,0,0,2,0,0
2005,130943,University of Delaware,1,Main Campus,20982,0,0,1,,,0,,,0,0,1,0,0
2006,130943,University of Delaware,1,Main Campus,20380,0,0,0,,,0,,,0,0,0,0,0
2007,130943,University of Delaware,1,Main Campus,20342,0,0,0,,,0,,,1,1,0,0,0
2008,130943,University of Delaware,1,Main Campus,20500,0,0,0,,,0,,,0,0,0,0,0
2009,130943,University of Delaware,1,Main Campus,21138,0,0,0,,,0,,,0,0,3,0,0
2010,130943,University of Delaware,1,Main Campus,21177,0,0,0,,,0,,,0,0,0,0,0
2011,130943,University of Delaware,1,Main Campus,21489,0,0,0,,,0,,,0,0,1,0,0
2012,130943,University of Delaware,1,Main Campus,21856,0,0,1,,,0,,,0,1,0,0,0
2013,130943,University of Delaware,1,Main Campus,22166,0,0,0,,,0,,,0,0,1,0,0
2014,130943,University of Delaware,1,Main Campus,22680,0,0,,0,0,,0,0,0,0,0,0,0
2015,130943,University of Delaware,1,Main Campus,22852,0,0,,0,2,,0,0,0,0,0,0,0
2016,130943,University of Delaware,1,Main Campus,23009,0,0,,1,3,,0,0,0,0,3,0,0
