Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,130943,University of Delaware,1,Main Campus,20949,0,0,9,,,2,,,2,5,71,11,14
2002,130943,University of Delaware,1,Main Campus,21289,0,0,2,,,0,,,8,3,75,18,9
2003,130943,University of Delaware,1,Main Campus,21121,0,0,9,,,0,,,8,5,34,10,3
2004,130943,University of Delaware,1,Main Campus,21238,0,0,8,,,0,,,4,3,52,6,3
2005,130943,University of Delaware,1,Main Campus,20982,0,0,3,,,0,,,10,3,26,7,6
2006,130943,University of Delaware,1,Main Campus,20380,0,0,7,,,0,,,3,2,57,1,6
2007,130943,University of Delaware,1,Main Campus,20342,0,0,5,,,0,,,5,3,36,0,0
2008,130943,University of Delaware,1,Main Campus,20500,0,0,3,,,0,,,8,4,32,2,1
2009,130943,University of Delaware,1,Main Campus,21138,0,0,2,,,0,,,3,2,25,5,2
2010,130943,University of Delaware,1,Main Campus,21177,0,0,2,,,0,,,4,3,15,1,2
2011,130943,University of Delaware,1,Main Campus,21489,0,0,3,,,1,,,4,3,26,1,1
2012,130943,University of Delaware,1,Main Campus,21856,0,0,3,,,0,,,2,1,11,1,0
2013,130943,University of Delaware,1,Main Campus,22166,0,0,3,,,0,,,0,3,22,0,0
2014,130943,University of Delaware,1,Main Campus,22680,0,0,,10,2,,0,0,3,3,27,0,0
2015,130943,University of Delaware,1,Main Campus,22852,0,0,,13,10,,0,0,1,8,7,0,1
2016,130943,University of Delaware,1,Main Campus,23009,0,0,,5,1,,0,0,0,6,7,1,1
