Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,127565,Metropolitan State University of Denver,1,Main Campus,18445,0,0,1,,,1,,,2,2,3,9,0
2002,127565,Metropolitan State University of Denver,1,Main Campus,19413,0,0,0,,,0,,,7,2,2,9,0
2003,127565,Metropolitan State University of Denver,1,Main Campus,20261,0,0,0,,,0,,,5,5,8,4,2
2004,127565,Metropolitan State University of Denver,1,Main Campus,20761,0,0,0,,,0,,,1,2,4,6,0
2005,127565,Metropolitan State University of Denver,1,Main Campus,21010,1,0,1,,,0,,,1,5,1,11,0
2006,127565,Metropolitan State University of Denver,1,Main Campus,21154,0,0,6,,,0,,,5,9,0,22,0
2007,127565,Metropolitan State University of Denver,1,Main Campus,21425,0,0,0,,,0,,,10,4,0,11,1
2008,127565,Metropolitan State University of Denver,1,Main Campus,21729,0,0,1,,,0,,,1,1,0,11,0
2009,127565,Metropolitan State University of Denver,1,Main Campus,22837,0,0,0,,,0,,,3,4,0,4,0
2010,127565,Metropolitan State University of Denver,1,Main Campus,23948,0,0,0,,,0,,,4,2,0,8,0
2011,127565,Metropolitan State University of Denver,1,Main Campus,23789,0,0,1,,,0,,,5,2,0,2,0
2012,127565,Metropolitan State University of Denver,1,Main Campus,23381,0,0,3,,,0,,,10,6,0,2,0
2013,127565,Metropolitan State University of Denver,1,Main Campus,22752,0,0,0,,,0,,,3,2,0,1,0
2014,127565,Metropolitan State University of Denver,1,Main Campus,21674,0,0,,0,2,,0,0,3,1,0,1,0
2015,127565,Metropolitan State University of Denver,1,Main Campus,20676,0,0,,1,0,,0,0,6,2,0,1,0
2016,127565,Metropolitan State University of Denver,1,Main Campus,20474,0,0,,0,0,,0,0,3,3,0,0,0
