Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,225511,University of Houston,1,Central Campus,33007,0,0,2,,,0,,,12,2,32,25,0
2002,225511,University of Houston,1,Central Campus,34443,0,0,2,,,0,,,5,5,25,57,0
2003,225511,University of Houston,1,Central Campus,35066,0,0,3,,,0,,,14,2,14,33,0
2004,225511,University of Houston,1,Central Campus,35180,0,0,0,,,0,,,17,4,30,38,1
2005,225511,University of Houston,1,Central Campus,35344,0,0,3,,,1,,,8,5,27,39,3
2006,225511,University of Houston,1,Central Campus,34334,0,0,6,,,0,,,4,4,27,29,0
2007,225511,University of Houston,1,Central Campus,34663,0,0,10,,,0,,,9,2,40,17,0
2008,225511,University of Houston,1,Central Campus,36104,0,0,5,,,1,,,6,7,22,27,1
2009,225511,University of Houston,1,Central Campus,37000,0,0,6,,,0,,,12,4,27,12,0
2010,225511,University of Houston,1,Central Campus,38752,0,0,2,,,0,,,7,4,14,14,0
2011,225511,University of Houston,1,Central Campus,39820,0,0,6,,,0,,,1,3,74,22,0
2012,225511,University of Houston,1,Central Campus,40747,0,0,2,,,1,,,11,4,87,15,0
2013,225511,University of Houston,1,Central Campus,39540,0,0,10,,,0,,,14,6,39,23,2
2014,225511,University of Houston,1,Central Campus,40914,0,0,,10,3,,0,0,5,6,17,19,3
2015,225511,University of Houston,1,Central Campus,42704,0,0,,6,3,,0,0,7,2,36,24,0
2016,225511,University of Houston,1,Central Campus,43774,0,0,,11,13,,0,0,15,6,41,18,2
